wl	k	
0.2000	0.00001
0.2065 	0.00001
0.2133	0.00001
0.2203	0.00001
0.2275	0.00001
0.2349	0.00001
0.2426	0.00001
0.2505	0.00001
0.2587	0.00001
0.2672	0.00001
0.2759	0.00001
0.2850	0.00001
0.2943	0.00001
0.3039	0.00001
0.3139	0.00001
0.3241	0.00001
0.3347	0.00001
0.3457	0.00001
0.3570	0.00001
0.3687	0.00001
0.3807	0.00001
0.3932	0.00001
0.4060	0.00001
0.4193	0.00001
0.4330	0.00001
0.4472	0.00001
0.4618	0.00001
0.4770	0.00001
0.4926	0.00001
0.5087	0.00001
0.5253	0.00001
0.5425	0.00001
0.5602	0.00001
0.5786	0.00001
0.5975	0.00001
0.6170	0.00001
0.6372	0.00001
0.6581	0.00001
0.6796	0.00001
0.7018	0.00001
0.7248	0.00001
0.7485  0.00001
0.7730	0.00001
0.7983	0.00001
0.8244	0.00001
0.8513	0.00001
0.8792	0.00001
0.9079	0.00001
0.9377	0.00001
0.9683	0.00001
1.0000	0.00001
1.033	0.00001
1.066	0.00001
1.101	0.00001
1.137	0.00001
1.175	0.00001
1.213	0.00001
1.253	0.00001
1.294	0.00001
1.336	0.00001
1.380	0.00001
1.425	0.00001
1.471	0.00001
1.520	0.00001
1.569	0.00001
1.621	0.00001
1.674	0.00001
1.728	0.00001
1.785	0.00001
1.843	0.00001
1.904	0.00001
1.966	0.00001
2.030	0.00001
2.097	0.00001
2.165	0.00001
2.236	0.00001
2.309	0.00001
2.385	0.00001
2.463	0.00001
2.543	0.00001
2.627	0.00001
2.712	0.00001
2.801	0.00001
2.893	0.00001
2.987	0.00001
3.085	0.00001
3.186	0.00001
3.290	0.00001
3.398	0.00001
3.509	0.00001
3.624	0.00001
3.742	0.00001
3.865	0.00001
3.991	0.00001
4.122	0.00001
4.257	0.00001
4.396	0.00001
4.540	0.00001
4.688	0.00001
4.842	0.00001
5.000	0.00001 
