wl	n
0.3	1.646857286
0.31	1.455629699
0.32	0.920058628
0.33	0.233797996
0.34	0.103893124
0.35	0.07599858
0.36	0.063180003
0.37	0.056279242
0.38	0.050752406
0.39	0.048660415
0.4	0.04572895
0.41	0.04451952
0.42	0.043287376
0.43	0.041992656
0.44	0.041101491
0.45	0.040932342
0.46	0.040956736
0.47	0.040727224
0.48	0.040781493
0.49	0.041249589
0.5	0.041373355
0.51	0.041602686
0.52	0.04237275
0.53	0.042204211
0.54	0.043403286
0.55	0.043817181
0.56	0.044507429
0.57	0.045973387
0.58	0.046819894
0.59	0.046840293
0.6	0.047410447
0.61	0.048985705
0.62	0.049617793
0.63	0.051101901
0.64	0.051646932
0.65	0.05091337
0.66	0.053388535
0.67	0.052475104
0.68	0.054218627
0.69	0.054429231
0.7	0.054860386
0.71	0.056538596
0.72	0.057401233
0.73	0.057733458
0.74	0.059629401
0.75	0.060113603
0.76	0.059047193
0.77	0.063824207
0.78	0.063464686
0.79	0.062217489
0.8	0.063950702
0.81	0.067473356
0.82	0.067636134
0.83	0.068189561
0.84	0.067475107
0.85	0.070135706
0.86	0.070503234
0.87	0.072455233
0.88	0.073943622
0.89	0.074927946
0.9	0.074793597
0.91	0.077646805
0.92	0.07877958
0.93	0.080106493
0.94	0.080039752
0.95	0.081098618
0.96	0.083963945
0.97	0.082327665
0.98	0.08532286
0.99	0.087779237
1	0.088025428
1.01	0.090501937
1.02	0.091223005
1.03	0.093163641
1.04	0.090978009
1.05	0.093069308
1.06	0.087488108
1.07	0.090085692
1.08	0.091414911
1.09	0.08952186
1.1	0.087625115
1.11	0.090461037
1.12	0.094528298
1.13	0.092749501
1.14	0.095451077
1.15	0.084359933
1.16	0.095878288
1.17	0.097053265
1.18	0.09493293
1.19	0.098324452
1.2	0.094881447
1.21	0.098216298
1.22	0.098772673
1.23	0.095285601
1.24	0.10376706
1.25	0.100172489
1.26	0.105090726
1.27	0.103513926
1.28	0.106644981
1.29	0.107642765
1.3	0.112669175
1.31	0.115274563
1.32	0.110070769
1.33	0.113725572
1.34	0.110796441
1.35	0.115127087
1.36	0.121692797
1.37	0.120000737
1.38	0.127761842
1.39	0.127391401
1.4	0.129567338
1.41	0.129532614
1.42	0.139425972
1.43	0.136689082
1.44	0.1337676
1.45	0.13753433
1.46	0.136002449
1.47	0.140018996
1.48	0.145683795
1.49	0.143029825
1.5	0.140671824
1.51	0.146851335
1.52	0.145574468
1.53	0.151117653
1.54	0.159989508
1.55	0.156488871
1.56	0.163061728
1.57	0.146280234
1.58	0.160846655
1.59	0.160289135
1.6	0.179696729
1.61	0.177528577
1.62	0.17444857
1.63	0.180256871
1.64	0.185834026
1.65	0.18452807
1.66	0.196882981
1.67	0.175222972
1.68	0.194315172
1.69	0.20553684
1.7	0.198531592
