Wavelength	n	k
0.31	1.154	0.3821
0.3107	1.119	0.3808
0.3115	1.084	0.3804
0.3123	1.048	0.381
0.3131	1.012	0.3824
0.3139	0.9767	0.3849
0.3147	0.9408	0.3884
0.3155	0.9046	0.3931
0.3163	0.8683	0.3989
0.3171	0.8317	0.4061
0.3179	0.795	0.4147
0.3187	0.7581	0.4249
0.3195	0.7212	0.4368
0.3204	0.6843	0.4505
0.3212	0.6478	0.4663
0.322	0.6118	0.4841
0.3229	0.5766	0.504
0.3237	0.5425	0.5261
0.3246	0.5099	0.5501
0.3254	0.4791	0.576
0.3263	0.4502	0.6033
0.3271	0.4235	0.6317
0.328	0.399	0.6609
0.3289	0.3766	0.6906
0.3297	0.3563	0.7205
0.3306	0.3379	0.7503
0.3315	0.3213	0.7799
0.3324	0.3062	0.8092
0.3333	0.2925	0.838
0.3342	0.2801	0.8663
0.3351	0.2688	0.894
0.336	0.2586	0.9212
0.3369	0.2492	0.9479
0.3378	0.2405	0.974
0.3388	0.2326	0.9996
0.3397	0.2253	1.025
0.3406	0.2186	1.049
0.3416	0.2124	1.073
0.3425	0.2066	1.097
0.3434	0.2013	1.12
0.3444	0.1963	1.143
0.3454	0.1916	1.165
0.3463	0.1873	1.187
0.3473	0.1832	1.209
0.3483	0.1795	1.23
0.3493	0.1759	1.252
0.3502	0.1726	1.272
0.3512	0.1694	1.293
0.3522	0.1665	1.313
0.3532	0.1637	1.333
0.3542	0.1611	1.353
0.3553	0.1586	1.372
0.3563	0.1563	1.391
0.3573	0.1541	1.41
0.3583	0.152	1.429
0.3594	0.1501	1.448
0.3604	0.1482	1.466
0.3615	0.1464	1.485
0.3625	0.1448	1.503
0.3636	0.1432	1.521
0.3647	0.1417	1.539
0.3657	0.1403	1.557
0.3668	0.139	1.574
0.3679	0.1377	1.592
0.369	0.1365	1.609
0.3701	0.1354	1.627
0.3712	0.1343	1.644
0.3723	0.1333	1.661
0.3734	0.1323	1.678
0.3746	0.1314	1.695
0.3757	0.1305	1.712
0.3769	0.1297	1.729
0.378	0.1289	1.746
0.3792	0.1282	1.762
0.3803	0.1275	1.779
0.3815	0.1269	1.795
0.3827	0.1262	1.812
0.3839	0.1257	1.828
0.385	0.1251	1.845
0.3862	0.1246	1.861
0.3875	0.1241	1.878
0.3887	0.1237	1.894
0.3899	0.1233	1.91
0.3911	0.1229	1.926
0.3924	0.1225	1.943
0.3936	0.1222	1.959
0.3949	0.1219	1.975
0.3961	0.1216	1.991
0.3974	0.1214	2.007
0.3987	0.1211	2.023
0.4	0.1209	2.04
0.4012	0.1207	2.056
0.4025	0.1206	2.072
0.4039	0.1204	2.088
0.4052	0.1203	2.104
0.4065	0.1202	2.12
0.4078	0.1201	2.136
0.4092	0.1201	2.152
0.4105	0.12	2.169
0.4119	0.12	2.185
0.4133	0.12	2.201
0.4147	0.12	2.217
0.4161	0.12	2.233
0.4175	0.1201	2.249
0.4189	0.1201	2.266
0.4203	0.1202	2.282
0.4217	0.1203	2.298
0.4232	0.1204	2.315
0.4246	0.1205	2.331
0.4261	0.1207	2.347
0.4275	0.1208	2.364
0.429	0.121	2.38
0.4305	0.1212	2.397
0.432	0.1213	2.413
0.4335	0.1216	2.43
0.435	0.1218	2.446
0.4366	0.122	2.463
0.4381	0.1223	2.48
0.4397	0.1225	2.496
0.4412	0.1228	2.513
0.4428	0.1231	2.53
0.4444	0.1234	2.547
0.446	0.1237	2.564
0.4476	0.124	2.581
0.4492	0.1244	2.598
0.4509	0.1247	2.615
0.4525	0.1251	2.632
0.4542	0.1255	2.649
0.4558	0.1259	2.666
0.4575	0.1263	2.684
0.4592	0.1267	2.701
0.4609	0.1271	2.719
0.4626	0.1276	2.736
0.4644	0.128	2.754
0.4661	0.1285	2.771
0.4679	0.129	2.789
0.4696	0.1295	2.807
0.4714	0.13	2.825
0.4732	0.1305	2.843
0.475	0.131	2.861
0.4769	0.1316	2.879
0.4787	0.1321	2.897
0.4806	0.1327	2.916
0.4824	0.1333	2.934
0.4843	0.1339	2.952
0.4862	0.1345	2.971
0.4881	0.1351	2.99
0.4901	0.1357	3.008
0.492	0.1364	3.027
0.494	0.1371	3.046
0.4959	0.1377	3.065
0.4979	0.1384	3.084
0.4999	0.1391	3.104
0.502	0.1398	3.123
0.504	0.1406	3.142
0.5061	0.1413	3.162
0.5081	0.142	3.182
0.5102	0.1428	3.201
0.5123	0.1436	3.221
0.5145	0.1444	3.241
0.5166	0.1452	3.261
0.5188	0.146	3.282
0.5209	0.1469	3.302
0.5231	0.1477	3.322
0.5254	0.1486	3.343
0.5276	0.1495	3.364
0.5299	0.1504	3.385
0.5321	0.1513	3.406
0.5344	0.1522	3.427
0.5367	0.1532	3.448
0.5391	0.1541	3.469
0.5414	0.1551	3.491
0.5438	0.1561	3.513
0.5462	0.1571	3.534
0.5486	0.1582	3.556
0.551	0.1592	3.578
0.5535	0.1603	3.601
0.556	0.1614	3.623
0.5585	0.1625	3.646
0.561	0.1636	3.668
0.5636	0.1647	3.691
0.5661	0.1659	3.714
0.5687	0.1671	3.737
0.5714	0.1682	3.761
0.574	0.1695	3.784
0.5767	0.1707	3.808
0.5794	0.172	3.832
0.5821	0.1732	3.856
0.5848	0.1745	3.88
0.5876	0.1758	3.905
0.590400	0.177200	3.929000
0.593200	0.178500	3.954000
0.596100	0.179900	3.979000
0.599000	0.181300	4.005000
0.601900	0.182800	4.030000
0.604800	0.184200	4.056000
0.607800	0.185700	4.081000
0.610800	0.187200	4.107000
0.613800	0.188700	4.134000
0.616800	0.190300	4.160000
0.619900	0.191800	4.187000
0.623000	0.193400	4.214000
0.626200	0.195100	4.241000
0.629400	0.196700	4.268000
0.632600	0.198400	4.296000
0.635800	0.200100	4.324000
0.639100	0.201900	4.352000
0.642400	0.203600	4.380000
0.645800	0.205400	4.409000
0.649100	0.207300	4.438000
0.652600	0.209100	4.467000
0.656000	0.211000	4.496000
0.659500	0.212900	4.526000
0.663000	0.214900	4.556000
0.666600	0.216900	4.586000
0.670200	0.218900	4.616000
0.673800	0.221000	4.647000
0.677500	0.223100	4.678000
0.681200	0.225200	4.709000
0.685000	0.227400	4.741000
0.688800	0.229600	4.773000
0.692700	0.231800	4.805000
0.696500	0.234100	4.838000
0.700500	0.236400	4.871000
0.704500	0.238800	4.904000
0.708500	0.241200	4.937000
0.712600	0.243700	4.971000
0.716700	0.246200	5.006000
0.720800	0.248700	5.040000
0.725100	0.251300	5.075000
0.729300	0.254000	5.110000
0.733600	0.256600	5.146000
0.738000	0.259400	5.182000
0.742400	0.262200	5.219000
0.746900	0.265000	5.256000
0.751400	0.267900	5.293000
0.756000	0.270800	5.331000
0.760600	0.273800	5.369000
0.765300	0.276900	5.407000
0.770100	0.280000	5.446000
0.774900	0.283200	5.485000
0.779800	0.286400	5.525000
0.784700	0.289700	5.566000
0.789700	0.293100	5.606000
0.794800	0.296500	5.648000
0.799900	0.300000	5.689000
0.805100	0.303600	5.731000
0.810400	0.307200	5.774000
0.815700	0.311000	5.817000
0.821100	0.314700	5.861000
0.826600	0.318600	5.905000
0.837700	0.243800	5.554000
0.849200	0.249700	5.638000
0.861000	0.255800	5.725000
0.873100	0.262200	5.814000
0.885600	0.268900	5.905000
0.898400	0.275900	5.999000
0.911700	0.283200	6.095000
0.925300	0.290800	6.194000
0.939300	0.298900	6.296000
0.953700	0.307300	6.400000
0.968600	0.316100	6.508000
0.984000	0.325400	6.619000
0.999900	0.335100	6.734000
1.016000	0.345400	6.852000
1.033000	0.356100	6.974000
1.051000	0.367500	7.100000
1.069000	0.379400	7.229000
1.088000	0.392000	7.364000
1.107000	0.405200	7.502000
1.127000	0.419200	7.646000
1.148000	0.434000	7.795000
1.170000	0.449700	7.949000
1.192000	0.466200	8.108000
1.216000	0.483800	8.274000
1.240000	0.502400	8.446000
1.265000	0.522200	8.625000
1.292000	0.543200	8.811000
1.319000	0.565600	9.004000
1.348000	0.589400	9.206000
1.378000	0.614900	9.416000
1.409000	0.642100	9.636000
1.442000	0.671200	9.865000
1.476000	0.702400	10.100000
1.512000	0.735900	10.360000
1.550000	0.771900	10.620000
1.590000	0.810600	10.900000
1.631000	0.852400	11.190000
1.675000	0.897700	11.490000
1.722000	0.946600	11.810000
1.771000	0.999800	12.150000
1.823000	1.058000	12.510000
1.879000	1.121000	12.890000
1.937000	1.190000	13.290000
2.000000	1.265000	13.720000
2.066000	1.348000	14.170000
2.138000	1.439000	14.650000
2.214000	1.541000	15.170000
2.296000	1.653000	15.720000
2.384000	1.778000	16.310000
2.480000	1.917000	16.950000
