Wavelength	n	k
0.310000	1.123000	0.682100
0.310700	1.096000	0.674800
0.311500	1.068000	0.668300
0.312300	1.040000	0.662700
0.313100	1.012000	0.657900
0.313900	0.983900	0.654000
0.314700	0.955200	0.651000
0.315500	0.926100	0.648900
0.316300	0.896700	0.647800
0.317100	0.867000	0.647600
0.317900	0.837000	0.648500
0.318700	0.806700	0.650400
0.319500	0.776200	0.653400
0.320400	0.745600	0.657600
0.321200	0.714700	0.663100
0.322000	0.683800	0.669800
0.322900	0.653000	0.677900
0.323700	0.622200	0.687300
0.324600	0.591800	0.698200
0.325400	0.561700	0.710500
0.326300	0.532100	0.724100
0.327100	0.503200	0.739200
0.328000	0.475000	0.755500
0.328900	0.447800	0.773000
0.329700	0.421600	0.791600
0.330600	0.396600	0.811100
0.331500	0.372600	0.831500
0.332400	0.349900	0.852500
0.333300	0.328300	0.874000
0.334200	0.307900	0.895900
0.335100	0.288600	0.918200
0.336000	0.270400	0.940600
0.336900	0.253200	0.963100
0.337800	0.237000	0.985700
0.338800	0.221700	1.008000
0.339700	0.207300	1.031000
0.340600	0.193700	1.053000
0.341600	0.180800	1.075000
0.342500	0.168500	1.097000
0.343400	0.157000	1.119000
0.344400	0.146000	1.141000
0.345400	0.135500	1.162000
0.346300	0.125600	1.184000
0.347300	0.116100	1.205000
0.348300	0.107100	1.226000
0.349300	0.098447	1.246000
0.350200	0.090193	1.267000
0.351200	0.082290	1.287000
0.352200	0.074714	1.307000
0.353200	0.067442	1.327000
0.354200	0.060456	1.347000
0.355300	0.053736	1.367000
0.356300	0.047266	1.386000
0.357300	0.041029	1.405000
0.358300	0.035012	1.424000
0.359400	0.029202	1.443000
0.360400	0.023585	1.462000
0.361500	0.018150	1.481000
0.362500	0.012888	1.499000
0.363600	0.007787	1.518000
0.364700	0.002840	1.536000
0.365700	0.001964	-1.554000
0.366800	0.006630	-1.572000
0.367900	0.011168	-1.590000
0.369000	0.015583	-1.608000
0.370100	0.019882	-1.625000
0.371200	0.024072	-1.643000
0.372300	0.028157	-1.661000
0.373400	0.032144	-1.678000
0.374600	0.036036	-1.695000
0.375700	0.039840	-1.713000
0.376900	0.043558	-1.730000
0.378000	0.047196	-1.747000
0.379200	0.050758	-1.764000
0.380300	0.054246	-1.781000
0.381500	0.057665	-1.798000
0.382700	0.061017	-1.815000
0.383900	0.064307	-1.832000
0.385000	0.067536	-1.849000
0.386200	0.070708	-1.865000
0.387500	0.073826	-1.882000
0.388700	0.076892	-1.899000
0.389900	0.079907	-1.915000
0.391100	0.082876	-1.932000
0.392400	0.085799	-1.949000
0.393600	0.088680	-1.965000
0.394900	0.091519	-1.982000
0.396100	0.094319	-1.998000
0.397400	0.097082	-2.015000
0.398700	0.099810	-2.031000
0.400000	0.102500	-2.048000
0.401200	0.105200	-2.064000
0.402500	0.107800	-2.080000
0.403900	0.110400	-2.097000
