wl	n	k
300.9	1.826	0.181
301.7	1.826	0.1799
302.4	1.827	0.1789
303.1	1.827	0.1778
303.9	1.827	0.1768
304.6	1.828	0.1757
305.4	1.828	0.1746
306.1	1.829	0.1735
306.9	1.829	0.1724
307.7	1.83	0.1714
308.4	1.83	0.1703
309.2	1.83	0.1692
310	1.831	0.1681
310.7	1.831	0.167
311.5	1.831	0.1659
312.3	1.832	0.1647
313.1	1.832	0.1636
313.9	1.832	0.1625
314.7	1.833	0.1614
315.5	1.833	0.1603
316.3	1.833	0.1591
317.1	1.834	0.158
317.9	1.834	0.1569
318.7	1.834	0.1557
319.5	1.834	0.1546
320.4	1.835	0.1534
321.2	1.835	0.1523
322	1.835	0.1512
322.9	1.835	0.15
323.7	1.836	0.1489
324.6	1.836	0.1477
325.4	1.836	0.1466
326.3	1.836	0.1454
327.1	1.836	0.1443
328	1.836	0.1431
328.9	1.837	0.142
329.7	1.837	0.1408
330.6	1.837	0.1397
331.5	1.837	0.1385
332.4	1.837	0.1373
333.3	1.837	0.1362
334.2	1.837	0.135
335.1	1.837	0.1339
336	1.837	0.1327
336.9	1.837	0.1316
337.8	1.837	0.1304
338.8	1.837	0.1293
339.7	1.837	0.1281
340.6	1.837	0.127
341.6	1.837	0.1258
342.5	1.837	0.1247
343.4	1.837	0.1235
344.4	1.837	0.1224
345.4	1.837	0.1213
346.3	1.837	0.1201
347.3	1.837	0.119
348.3	1.837	0.1178
349.3	1.837	0.1167
350.2	1.837	0.1156
351.2	1.837	0.1145
352.2	1.837	0.1133
353.2	1.836	0.1122
354.2	1.836	0.1111
355.3	1.836	0.11
356.3	1.836	0.1089
357.3	1.836	0.1078
358.3	1.836	0.1066
359.4	1.835	0.1055
360.4	1.835	0.1044
361.5	1.835	0.1034
362.5	1.835	0.1023
363.6	1.835	0.1012
364.7	1.834	0.1001
365.7	1.834	9.90E-02
366.8	1.834	9.79E-02
367.9	1.834	9.69E-02
369	1.833	9.58E-02
370.1	1.833	9.48E-02
371.2	1.833	9.37E-02
372.3	1.833	9.27E-02
373.4	1.832	9.16E-02
374.6	1.832	9.06E-02
375.7	1.832	8.95E-02
376.9	1.831	8.85E-02
378	1.831	8.75E-02
379.2	1.831	8.65E-02
380.3	1.83	8.54E-02
381.5	1.83	8.44E-02
382.7	1.83	8.34E-02
383.9	1.829	8.24E-02
385	1.829	8.14E-02
386.2	1.828	8.05E-02
387.5	1.828	7.95E-02
388.7	1.828	7.85E-02
389.9	1.827	7.75E-02
391.1	1.827	7.66E-02
392.4	1.826	7.56E-02
393.6	1.826	7.47E-02
394.9	1.825	7.37E-02
396.1	1.825	7.28E-02
397.4	1.825	7.19E-02
398.7	1.824	7.09E-02
400	1.824	7.00E-02
401.2	1.823	6.91E-02
402.5	1.823	6.82E-02
403.9	1.822	6.73E-02
405.2	1.822	6.64E-02
406.5	1.821	6.55E-02
407.8	1.821	6.46E-02
409.2	1.82	6.38E-02
410.5	1.82	6.29E-02
411.9	1.819	6.20E-02
413.3	1.819	6.12E-02
414.7	1.818	6.03E-02
416.1	1.818	5.95E-02
417.5	1.817	5.87E-02
418.9	1.817	5.79E-02
420.3	1.816	5.70E-02
421.7	1.816	5.62E-02
423.2	1.815	5.54E-02
424.6	1.814	5.46E-02
426.1	1.814	5.38E-02
427.5	1.813	5.31E-02
429	1.813	5.23E-02
430.5	1.812	5.15E-02
432	1.812	5.07E-02
433.5	1.811	5.00E-02
435	1.811	4.92E-02
436.6	1.81	4.85E-02
438.1	1.809	4.78E-02
439.7	1.809	4.70E-02
441.2	1.808	4.63E-02
442.8	1.808	4.56E-02
444.4	1.807	4.49E-02
446	1.806	4.42E-02
447.6	1.806	4.35E-02
449.2	1.805	4.28E-02
450.9	1.805	4.21E-02
452.5	1.804	4.15E-02
454.2	1.803	4.08E-02
455.8	1.803	4.01E-02
457.5	1.802	3.95E-02
459.2	1.802	3.88E-02
460.9	1.801	3.82E-02
462.6	1.8	3.76E-02
464.4	1.8	3.70E-02
466.1	1.799	3.63E-02
467.9	1.798	3.57E-02
469.6	1.798	3.51E-02
471.4	1.797	3.45E-02
473.2	1.796	3.39E-02
475	1.796	3.33E-02
476.9	1.795	3.28E-02
478.7	1.795	3.22E-02
480.6	1.794	3.16E-02
482.4	1.793	3.11E-02
484.3	1.793	3.05E-02
486.2	1.792	3.00E-02
488.1	1.791	2.94E-02
490.1	1.791	2.89E-02
492	1.79	2.84E-02
494	1.789	2.79E-02
495.9	1.789	2.74E-02
497.9	1.788	2.68E-02
499.9	1.787	2.63E-02
502	1.787	2.59E-02
504	1.786	2.54E-02
506.1	1.786	2.49E-02
508.1	1.785	2.44E-02
510.2	1.784	2.39E-02
512.3	1.784	2.35E-02
514.5	1.783	2.30E-02
516.6	1.782	2.26E-02
518.8	1.782	2.21E-02
520.9	1.781	2.17E-02
523.1	1.78	2.12E-02
525.4	1.78	2.08E-02
527.6	1.779	2.04E-02
529.9	1.778	2.00E-02
532.1	1.778	1.96E-02
534.4	1.777	1.92E-02
536.7	1.776	1.88E-02
539.1	1.776	1.84E-02
541.4	1.775	1.80E-02
543.8	1.775	1.76E-02
546.2	1.774	1.72E-02
548.6	1.773	1.69E-02
551	1.773	1.65E-02
553.5	1.772	1.61E-02
556	1.771	1.58E-02
558.5	1.771	1.54E-02
561	1.77	1.51E-02
563.6	1.769	1.47E-02
566.1	1.769	1.44E-02
568.7	1.768	1.41E-02
571.4	1.767	1.37E-02
574	1.767	1.34E-02
576.7	1.766	1.31E-02
579.4	1.766	1.28E-02
582.1	1.765	1.25E-02
584.8	1.764	1.22E-02
587.6	1.764	1.19E-02
590.4	1.763	1.16E-02
593.2	1.762	1.13E-02
596.1	1.762	1.10E-02
599	1.761	1.08E-02
601.9	1.761	1.05E-02
604.8	1.76	1.02E-02
607.8	1.759	9.96E-03
610.8	1.759	9.70E-03
613.8	1.758	9.45E-03
616.8	1.757	9.20E-03
619.9	1.757	8.95E-03
623	1.756	8.71E-03
626.2	1.756	8.48E-03
629.4	1.755	8.24E-03
632.6	1.754	8.01E-03
635.8	1.754	7.79E-03
639.1	1.753	7.57E-03
642.4	1.753	7.35E-03
645.8	1.752	7.14E-03
649.1	1.751	6.93E-03
652.6	1.751	6.73E-03
656	1.75	6.53E-03
659.5	1.75	6.33E-03
663	1.749	6.14E-03
666.6	1.748	5.95E-03
670.2	1.748	5.76E-03
673.8	1.747	5.58E-03
677.5	1.747	5.40E-03
681.2	1.746	5.23E-03
685	1.745	5.06E-03
688.8	1.745	4.89E-03
692.7	1.744	4.73E-03
696.5	1.744	4.57E-03
700.5	1.743	4.41E-03
704.5	1.743	4.26E-03
708.5	1.742	4.11E-03
712.6	1.741	3.96E-03
716.7	1.741	3.82E-03
720.8	1.74	3.68E-03
725.1	1.74	3.54E-03
729.3	1.739	3.40E-03
733.6	1.739	3.27E-03
738	1.738	3.15E-03
742.4	1.737	3.02E-03
746.9	1.737	2.90E-03
751.4	1.736	2.78E-03
756	1.736	2.67E-03
760.6	1.735	2.55E-03
765.3	1.735	2.44E-03
770.1	1.734	2.34E-03
774.9	1.734	2.23E-03
779.8	1.733	2.13E-03
784.7	1.733	2.03E-03
789.7	1.732	1.94E-03
794.8	1.731	1.84E-03
799.9	1.731	1.75E-03
805.1	1.73	1.67E-03
810.4	1.73	1.58E-03
815.7	1.729	1.50E-03
821.1	1.729	1.42E-03
826.6	1.728	1.34E-03
