wl	n	k
300.9000000	2.0360000	0.3074000
301.7000000	2.0370000	0.3071000
302.4000000	2.0380000	0.3067000
303.1000000	2.0390000	0.3064000
303.9000000	2.0390000	0.3061000
304.6000000	2.0400000	0.3057000
305.4000000	2.0410000	0.3054000
306.1000000	2.0420000	0.3050000
306.9000000	2.0430000	0.3046000
307.7000000	2.0430000	0.3043000
308.4000000	2.0440000	0.3039000
309.2000000	2.0450000	0.3035000
310.0000000	2.0460000	0.3031000
310.7000000	2.0460000	0.3027000
311.5000000	2.0470000	0.3023000
312.3000000	2.0480000	0.3019000
313.1000000	2.0490000	0.3015000
313.9000000	2.0500000	0.3011000
314.7000000	2.0500000	0.3006000
315.5000000	2.0510000	0.3002000
316.3000000	2.0520000	0.2998000
317.1000000	2.0530000	0.2993000
317.9000000	2.0540000	0.2989000
318.7000000	2.0540000	0.2984000
319.5000000	2.0550000	0.2979000
320.4000000	2.0560000	0.2975000
321.2000000	2.0570000	0.2970000
322.0000000	2.0580000	0.2965000
322.9000000	2.0580000	0.2960000
323.7000000	2.0590000	0.2955000
324.6000000	2.0600000	0.2950000
325.4000000	2.0610000	0.2945000
326.3000000	2.0620000	0.2939000
327.1000000	2.0630000	0.2934000
328.0000000	2.0630000	0.2929000
328.9000000	2.0640000	0.2923000
329.7000000	2.0650000	0.2917000
330.6000000	2.0660000	0.2912000
331.5000000	2.0670000	0.2906000
332.4000000	2.0670000	0.2900000
333.3000000	2.0680000	0.2894000
334.2000000	2.0690000	0.2889000
335.1000000	2.0700000	0.2882000
336.0000000	2.0710000	0.2876000
336.9000000	2.0710000	0.2870000
337.8000000	2.0720000	0.2864000
338.8000000	2.0730000	0.2858000
339.7000000	2.0740000	0.2851000
340.6000000	2.0750000	0.2845000
341.6000000	2.0760000	0.2838000
342.5000000	2.0760000	0.2831000
343.4000000	2.0770000	0.2825000
344.4000000	2.0780000	0.2818000
345.4000000	2.0790000	0.2811000
346.3000000	2.0800000	0.2804000
347.3000000	2.0800000	0.2797000
348.3000000	2.0810000	0.2789000
349.3000000	2.0820000	0.2782000
350.2000000	2.0830000	0.2775000
351.2000000	2.0840000	0.2767000
352.2000000	2.0840000	0.2760000
353.2000000	2.0850000	0.2752000
354.2000000	2.0860000	0.2744000
355.3000000	2.0870000	0.2737000
356.3000000	2.0880000	0.2729000
357.3000000	2.0880000	0.2721000
358.3000000	2.0890000	0.2713000
359.4000000	2.0900000	0.2704000
360.4000000	2.0910000	0.2696000
361.5000000	2.0920000	0.2688000
362.5000000	2.0920000	0.2679000
363.6000000	2.0930000	0.2671000
364.7000000	2.0940000	0.2662000
365.7000000	2.0950000	0.2653000
366.8000000	2.0950000	0.2644000
367.9000000	2.0960000	0.2636000
369.0000000	2.0970000	0.2627000
370.1000000	2.0980000	0.2617000
371.2000000	2.0980000	0.2608000
372.3000000	2.0990000	0.2599000
373.4000000	2.1000000	0.2589000
374.6000000	2.1010000	0.2580000
375.7000000	2.1010000	0.2570000
376.9000000	2.1020000	0.2561000
378.0000000	2.1030000	0.2551000
379.2000000	2.1040000	0.2541000
380.3000000	2.1040000	0.2531000
381.5000000	2.1050000	0.2521000
382.7000000	2.1060000	0.2511000
