Wavelength(micron)	n	k
0.190746472	1.652206318	0.263790099
0.191335195	1.653053206	0.262392204
0.191927564	1.653891359	0.260989365
0.192523613	1.654720734	0.259581649
0.193123375	1.655541286	0.258169119
0.193726885	1.656352969	0.25675184
0.19433418	1.65715574	0.255329878
0.194945293	1.657949556	0.2539033
0.195560263	1.658734374	0.25247217
0.196179124	1.659510152	0.251036556
0.196801915	1.660276848	0.249596525
0.197428673	1.661034419	0.248152144
0.198059435	1.661782826	0.24670348
0.198694241	1.662522028	0.245250601
0.19933313	1.663251984	0.243793575
0.19997614	1.663972655	0.242332472
0.200623312	1.664684002	0.240867359
0.201274686	1.665385987	0.239398307
0.201930304	1.666078571	0.237925384
0.202590207	1.666761716	0.23644866
0.203254437	1.667435385	0.234968205
0.203923037	1.668099542	0.233484089
0.20459605	1.66875415	0.231996384
0.205273521	1.669399173	0.23050516
0.205955493	1.670034575	0.229010488
0.206642011	1.670660322	0.22751244
0.207333121	1.671276379	0.226011087
0.20802887	1.671882712	0.224506502
0.208729304	1.672479287	0.222998756
0.209434471	1.673066071	0.221487923
0.210144418	1.673643031	0.219974075
0.210859195	1.674210135	0.218457285
0.211578851	1.674767351	0.216937627
0.212303436	1.675314647	0.215415173
0.213033001	1.675851992	0.213889999
0.213767598	1.676379355	0.212362178
0.214507278	1.676896706	0.210831785
0.215252095	1.677404015	0.209298893
0.216002102	1.677901253	0.207763578
0.216757354	1.67838839	0.206225916
0.217517906	1.678865398	0.204685981
0.218283814	1.679332248	0.203143849
0.219055135	1.679788912	0.201599596
0.219831927	1.680235364	0.200053299
0.220614247	1.680671574	0.198505032
0.221402155	1.681097518	0.196954874
0.222195711	1.681513167	0.195402901
0.222994976	1.681918497	0.19384919
0.223800012	1.682313481	0.192293819
0.224610882	1.682698094	0.190736865
0.225427648	1.683072311	0.189178406
0.226250377	1.683436106	0.18761852
0.227079133	1.683789457	0.186057287
0.227913983	1.684132338	0.184494784
0.228754994	1.684464725	0.18293109
0.229602234	1.684786596	0.181366285
0.230455774	1.685097927	0.179800449
0.231315684	1.685398695	0.178233661
0.232182035	1.685688879	0.176666001
0.2330549	1.685968454	0.17509755
0.233934352	1.686237401	0.173528389
0.234820467	1.686495696	0.171958598
0.235713321	1.686743318	0.17038826
0.23661299	1.686980247	0.168817455
0.237519553	1.687206462	0.167246266
0.23843309	1.687421942	0.165674774
