# Wavelength(nm) T fR bR
210 0.0007 0.1951 0.0400
215 0.0007 0.1975 0.0400
220 0.0007 0.1961 0.0400
225 0.0007 0.1920 0.0400
230 0.0007 0.1864 0.0400
235 0.0007 0.1803 0.0400
240 0.0009 0.1747 0.0400
245 0.0011 0.1706 0.0400
250 0.0021 0.1689 0.0400
255 0.0044 0.1704 0.0401
260 0.0081 0.1749 0.0402
265 0.0120 0.1794 0.0407
270 0.0148 0.1779 0.0418
275 0.0177 0.1646 0.0436
280 0.0222 0.1433 0.0455
285 0.0308 0.1203 0.0468
290 0.0460 0.1006 0.0475
295 0.0715 0.0873 0.0477
300 0.1095 0.0818 0.0485
305 0.1575 0.0857 0.0526
310 0.2074 0.0999 0.0639
315 0.2525 0.1214 0.0843
320 0.2882 0.1458 0.1119
325 0.3175 0.1704 0.1447
330 0.3371 0.1899 0.1778
335 0.3559 0.2066 0.2104
340 0.3702 0.2207 0.2387
345 0.3855 0.2314 0.2658
350 0.3980 0.2388 0.2857
355 0.4104 0.2445 0.3018
360 0.4243 0.2485 0.3159
365 0.4363 0.2500 0.3229
370 0.4498 0.2504 0.3283
375 0.4636 0.2499 0.3304
380 0.4776 0.2476 0.3294
385 0.4920 0.2448 0.3262
390 0.5067 0.2412 0.3209
395 0.5225 0.2369 0.3147
400 0.5374 0.2320 0.3063
405 0.5537 0.2265 0.2979
410 0.5709 0.2210 0.2894
415 0.5852 0.2151 0.2777
420 0.6012 0.2091 0.2671
425 0.6156 0.2029 0.2554
430 0.6309 0.1965 0.2444
435 0.6437 0.1901 0.2322
440 0.6587 0.1837 0.2217
445 0.6718 0.1772 0.2105
450 0.6856 0.1708 0.2003
455 0.6974 0.1642 0.1895
460 0.7085 0.1575 0.1791
465 0.7189 0.1508 0.1689
470 0.7294 0.1440 0.1592
475 0.7370 0.1370 0.1491
480 0.7476 0.1302 0.1404
485 0.7553 0.1231 0.1313
490 0.7608 0.1158 0.1221
495 0.7680 0.1087 0.1137
500 0.7729 0.1014 0.1053
505 0.7779 0.0942 0.0974
510 0.7838 0.0871 0.0899
515 0.7873 0.0801 0.0826
520 0.7878 0.0731 0.0754
525 0.7915 0.0666 0.0691
530 0.7930 0.0604 0.0631
535 0.7947 0.0547 0.0577
540 0.7950 0.0494 0.0528
545 0.7953 0.0447 0.0487
550 0.7916 0.0405 0.0452
555 0.7895 0.0372 0.0426
560 0.7873 0.0348 0.0409
565 0.7834 0.0332 0.0401
570 0.7785 0.0327 0.0403
575 0.7726 0.0333 0.0415
580 0.7642 0.0349 0.0439
585 0.7571 0.0379 0.0474
590 0.7474 0.0421 0.0520
595 0.7368 0.0475 0.0579
600 0.7274 0.0544 0.0650
605 0.7141 0.0624 0.0731
610 0.7035 0.0719 0.0827
615 0.6899 0.0825 0.0932
620 0.6734 0.0941 0.1043
625 0.6598 0.1071 0.1171
630 0.6428 0.1210 0.1302
635 0.6273 0.1359 0.1446
640 0.6113 0.1517 0.1598
645 0.5950 0.1682 0.1757
650 0.5766 0.1853 0.1914
655 0.5605 0.2031 0.2087
660 0.5425 0.2212 0.2253
665 0.5262 0.2397 0.2434
670 0.5078 0.2584 0.2600
675 0.4907 0.2772 0.2776
680 0.4742 0.2962 0.2957
685 0.4580 0.3150 0.3137
690 0.4398 0.3337 0.3288
695 0.4239 0.3523 0.3459
700 0.4087 0.3707 0.3634
705 0.3936 0.3888 0.3800
710 0.3784 0.4065 0.3956
715 0.3642 0.4239 0.4115
720 0.3508 0.4408 0.4279
725 0.3371 0.4574 0.4423
730 0.3246 0.4735 0.4578
735 0.3120 0.4892 0.4713
740 0.3001 0.5044 0.4852
745 0.2887 0.5191 0.4987
750 0.2783 0.5334 0.5137
755 0.2678 0.5472 0.5264
760 0.2571 0.5605 0.5365
765 0.2475 0.5733 0.5483
770 0.2385 0.5858 0.5607
775 0.2296 0.5977 0.5717
780 0.2209 0.6092 0.5811
785 0.2131 0.6203 0.5925
790 0.2055 0.6310 0.6034
795 0.1979 0.6413 0.6117
800 0.1906 0.6512 0.6196
805 0.1841 0.6608 0.6296
810 0.1776 0.6700 0.6380
815 0.1716 0.6788 0.6474
820 0.1653 0.6873 0.6527
825 0.1597 0.6955 0.6602
830 0.1541 0.7033 0.6662
835 0.1489 0.7109 0.6731
840 0.1441 0.7182 0.6811
845 0.1394 0.7252 0.6876
850 0.1347 0.7319 0.6925
855 0.1305 0.7384 0.6998
860 0.1267 0.7447 0.7084
865 0.1232 0.7507 0.7196
870 0.1191 0.7565 0.7222
875 0.1153 0.7621 0.7260
880 0.1118 0.7675 0.7310
885 0.1085 0.7727 0.7359
890 0.1050 0.7777 0.7376
895 0.1019 0.7825 0.7421
900 0.0991 0.7872 0.7479
905 0.0964 0.7917 0.7551
910 0.0937 0.7960 0.7592
915 0.0910 0.8002 0.7631
920 0.0884 0.8043 0.7654
925 0.0860 0.8082 0.7691
930 0.0836 0.8120 0.7727
935 0.0814 0.8156 0.7761
940 0.0791 0.8192 0.7779
945 0.0771 0.8226 0.7827
950 0.0751 0.8259 0.7858
955 0.0732 0.8291 0.7888
960 0.0713 0.8322 0.7918
965 0.0695 0.8352 0.7946
970 0.0679 0.8381 0.7989
975 0.0661 0.8409 0.8000
980 0.0645 0.8436 0.8026
985 0.0630 0.8463 0.8051
990 0.0615 0.8488 0.8076
995 0.0600 0.8513 0.8099
1000 0.0586 0.8537 0.8122
1005 0.0573 0.8560 0.8145
1010 0.0559 0.8583 0.8167
1015 0.0547 0.8605 0.8188
1020 0.0535 0.8627 0.8208
1025 0.0523 0.8647 0.8228
1030 0.0511 0.8668 0.8248
1035 0.0500 0.8687 0.8266
1040 0.0489 0.8706 0.8285
1045 0.0479 0.8725 0.8303
1050 0.0469 0.8743 0.8320
1055 0.0459 0.8760 0.8337
1060 0.0450 0.8778 0.8354
1065 0.0440 0.8794 0.8353
1070 0.0432 0.8810 0.8386
1075 0.0423 0.8826 0.8401
1080 0.0415 0.8842 0.8433
1085 0.0407 0.8856 0.8447
1090 0.0399 0.8871 0.8461
1095 0.0391 0.8885 0.8475
1100 0.0384 0.8899 0.8489
1105 0.0376 0.8913 0.8485
1110 0.0369 0.8926 0.8481
1115 0.0362 0.8939 0.8494
1120 0.0356 0.8951 0.8523
1125 0.0349 0.8963 0.8535
1130 0.0343 0.8975 0.8547
1135 0.0337 0.8987 0.8558
1140 0.0331 0.8998 0.8569
1145 0.0325 0.9009 0.8580
1150 0.0319 0.9020 0.8591
1155 0.0313 0.9031 0.8584
1160 0.0308 0.9041 0.8595
1165 0.0303 0.9051 0.8622
1170 0.0299 0.9061 0.8666
1175 0.0293 0.9071 0.8658
1180 0.0289 0.9080 0.8668
1185 0.0284 0.9090 0.8677
1190 0.0279 0.9099 0.8669
1195 0.0274 0.9108 0.8678
1200 0.0271 0.9116 0.8721
1205 0.0266 0.9125 0.8730
1210 0.0262 0.9133 0.8721
1215 0.0257 0.9141 0.8711
1220 0.0254 0.9149 0.8719
1225 0.0250 0.9157 0.8727
1230 0.0246 0.9165 0.8752
1235 0.0242 0.9172 0.8760
1240 0.0239 0.9180 0.8767
1245 0.0235 0.9187 0.8774
1250 0.0232 0.9194 0.8781
1255 0.0228 0.9201 0.8788
1260 0.0225 0.9207 0.8795
1265 0.0222 0.9214 0.8785
1270 0.0218 0.9221 0.8791
1275 0.0215 0.9227 0.8798
1280 0.0213 0.9233 0.8821
1285 0.0210 0.9239 0.8845
1290 0.0207 0.9245 0.8834
1295 0.0204 0.9251 0.8840
1300 0.0201 0.9257 0.8863
1305 0.0199 0.9263 0.8869
1310 0.0196 0.9268 0.8875
1315 0.0193 0.9274 0.8881
1320 0.0191 0.9279 0.8886
1325 0.0188 0.9284 0.8892
1330 0.0186 0.9290 0.8897
1335 0.0183 0.9295 0.8902
1340 0.0181 0.9300 0.8907
1345 0.0179 0.9305 0.8913
1350 0.0176 0.9310 0.8900
1355 0.0174 0.9314 0.8905
1360 0.0172 0.9319 0.8892
1365 0.0170 0.9324 0.8914
1370 0.0168 0.9328 0.8919
1375 0.0166 0.9333 0.8923
1380 0.0164 0.9337 0.8928
1385 0.0162 0.9341 0.8932
1390 0.0160 0.9345 0.8937
1395 0.0158 0.9350 0.8923
1400 0.0155 0.9354 0.8892
1405 0.0154 0.9358 0.8896
1410 0.0152 0.9362 0.8900
1415 0.0150 0.9365 0.8904
1420 0.0148 0.9369 0.8908
1425 0.0147 0.9373 0.8912
1430 0.0145 0.9377 0.8934
1435 0.0143 0.9380 0.8920
1440 0.0142 0.9384 0.8941
1445 0.0140 0.9388 0.8963
1450 0.0139 0.9391 0.8966
1455 0.0137 0.9394 0.8970
1460 0.0136 0.9398 0.8992
1465 0.0134 0.9401 0.8995
1470 0.0133 0.9404 0.8998
1475 0.0131 0.9408 0.9002
1480 0.0130 0.9411 0.8987
1485 0.0129 0.9414 0.8991
1490 0.0127 0.9417 0.9012
1495 0.0126 0.9420 0.9015
1500 0.0125 0.9423 0.9054
1505 0.0124 0.9426 0.9057
1510 0.0122 0.9429 0.9042
1515 0.0121 0.9432 0.9063
1520 0.0120 0.9435 0.9067
1525 0.0119 0.9437 0.9069
1530 0.0117 0.9440 0.9072
1535 0.0116 0.9443 0.9075
1540 0.0115 0.9446 0.9078
1545 0.0114 0.9448 0.9081
1550 0.0113 0.9451 0.9084
1555 0.0112 0.9453 0.9086
1560 0.0111 0.9456 0.9089
1565 0.0110 0.9458 0.9092
1570 0.0109 0.9461 0.9094
1575 0.0107 0.9463 0.9079
1580 0.0106 0.9466 0.9081
1585 0.0105 0.9468 0.9084
1590 0.0104 0.9470 0.9086
1595 0.0103 0.9473 0.9071
1600 0.0102 0.9475 0.9091
1605 0.0101 0.9477 0.9076
1610 0.0100 0.9479 0.9078
1615 0.0099 0.9481 0.9080
1620 0.0099 0.9484 0.9083
1625 0.0098 0.9486 0.9067
1630 0.0097 0.9488 0.9069
1635 0.0096 0.9490 0.9089
1640 0.0095 0.9492 0.9110
1645 0.0094 0.9494 0.9094
1650 0.0093 0.9496 0.9096
1655 0.0093 0.9498 0.9116
1660 0.0092 0.9500 0.9118
1665 0.0091 0.9502 0.9102
1670 0.0090 0.9504 0.9104
1675 0.0089 0.9506 0.9125
1680 0.0089 0.9507 0.9108
1685 0.0088 0.9509 0.9110
1690 0.0087 0.9511 0.9094
1695 0.0086 0.9513 0.9114
1700 0.0086 0.9515 0.9116
1705 0.0085 0.9516 0.9100
1710 0.0084 0.9518 0.9102
1715 0.0083 0.9520 0.9103
1720 0.0083 0.9521 0.9105
1725 0.0082 0.9523 0.9125
1730 0.0081 0.9525 0.9127
1735 0.0081 0.9526 0.9129
1740 0.0080 0.9528 0.9094
1745 0.0079 0.9530 0.9114
1750 0.0079 0.9531 0.9116
1755 0.0078 0.9533 0.9136
1760 0.0078 0.9534 0.9119
1765 0.0077 0.9536 0.9121
1770 0.0076 0.9537 0.9141
1775 0.0076 0.9539 0.9124
1780 0.0075 0.9540 0.9126
1785 0.0075 0.9542 0.9127
1790 0.0074 0.9543 0.9129
1795 0.0073 0.9544 0.9112
1800 0.0073 0.9546 0.9150
1805 0.0073 0.9547 0.9225
1810 0.0072 0.9549 0.9208
1815 0.0072 0.9550 0.9247
1820 0.0071 0.9551 0.9248
1825 0.0071 0.9553 0.9250
1830 0.0070 0.9554 0.9233
1835 0.0069 0.9555 0.9234
1840 0.0069 0.9556 0.9235
1845 0.0068 0.9558 0.9200
1850 0.0068 0.9559 0.9201
1855 0.0067 0.9560 0.9240
1860 0.0067 0.9561 0.9259
