wl,n,k
0.419346624,1.425816926,0
0.425452225,1.424980319,0
0.433284591,1.424082195,0
0.440270457,1.423206788,0
0.448739408,1.422387731,0
0.456799306,1.421564767,0
0.466619408,1.420739865,0
0.476631577,1.419854926,0
0.490000815,1.418872684,0
0.504958783,1.417934363,0
0.517754026,1.417154393,0
0.53252348,1.41631181,0
0.548280296,1.415440489,0
0.565035284,1.41464901,0
0.583766343,1.413813596,0
0.604480785,1.413007692,0
0.626191811,1.412265677,0
0.647907932,1.411574844,0
0.669631866,1.41096249,0
0.691360896,1.410401318,0
0.713098078,1.409922036,0
0.7348356,1.409446167,0
0.756577879,1.409018067,0
0.778322874,1.408617264,0
0.800071607,1.408253994,0
0.821822717,1.40791461,0
0.843576545,1.407602522,0
0.865331392,1.40730067,0
0.887087598,1.407012467,0
0.908846521,1.406751561,0
0.930607143,1.406507716,0
0.952368445,1.406270694,0
0.974131105,1.406047321,0
0.995894784,1.405834185,0
1.017658803,1.40562446,0
1.039422143,1.405407912,0
1.061187861,1.405215248,0
1.082955616,1.405043057,0
1.10472541,1.404891339,0
1.126489429,1.404681614,0
1.148257525,1.404512835,0
1.170026639,1.404354293,0
1.191796433,1.404202574,0
1.213565208,1.404040619,0
1.235334323,1.403882077,0
1.257104796,1.403737183,0
1.278875609,1.403595701,0
1.300646762,1.403457631,0
1.322417235,1.403312736,0
1.344189407,1.403184903,0
1.36595988,1.403040009,0
1.387732392,1.402915587,0
1.409502186,1.402763869,0
1.431273339,1.402625799,0
1.453044831,1.402491141,0
1.474818362,1.402376956,0
1.496589175,1.402235474,0
1.518361347,1.40210764,0
1.540134877,1.401993455,0
1.56190603,1.401855385,0
1.583677183,1.401717315,0
1.605450034,1.401596306,0
1.627221187,1.401458236,0
1.648993019,1.40132699,0
1.670766889,1.401216217,0
1.690560826,1.401110586,0
