wl	k
0.252	0.001211
0.254	0.001171
0.256	0.001131
0.258	0.001093
0.260	0.001055
0.262	0.001019
0.264	0.000983
0.266	0.000949
0.268	0.000915
0.270	0.000882
0.272	0.000850
0.274	0.000819
0.276	0.000789
0.278	0.000759
0.280	0.000730
0.282	0.000702
0.284	0.000675
0.286	0.000649
0.288	0.000623
0.290	0.000598
0.292	0.000574
0.294	0.000550
0.296	0.000527
0.298	0.000505
0.300	0.000483
0.302	0.000462
0.304	0.000441
0.306	0.000421
0.308	0.000402
0.310	0.000383
0.312	0.000365
0.314	0.000348
0.316	0.000331
0.318	0.000314
0.320	0.000298
0.322	0.000283
0.324	0.000268
0.326	0.000253
0.328	0.000240
0.330	0.000226
0.332	0.000213
0.334	0.000200
0.336	0.000188
0.338	0.000177
0.340	0.000166
0.342	0.000155
0.344	0.000144
0.346	0.000135
0.348	0.000125
0.350	0.000116
0.352	0.000107
0.354	0.000099
0.356	0.000091
0.358	0.000083
0.360	0.000076
0.362	0.000069
0.364	0.000063
0.366	0.000057
0.368	0.000051
0.370	0.000045
0.372	0.000040
0.374	0.000036
0.376	0.000031
0.378	0.000027
0.380	0.000023
0.382	0.000020
0.384	0.000016
0.386	0.000014
0.388	0.000011
0.390	0.000009
0.392	0.000007
0.394	0.000005
0.396	0.000003
0.398	0.000002
0.400	0.000001
0.402	0.000001
0.404	0.000000
0.406	0.000000
0.408	0.000000
0.410	0.000000
0.412	0.000000
0.414	0.000000
0.416	0.000000
0.418	0.000000
0.420	0.000000
0.422	0.000000
0.424	0.000000
0.426	0.000000
0.428	0.000000
0.430	0.000000
0.432	0.000000
0.434	0.000000
0.436	0.000000
0.438	0.000000
0.440	0.000000
0.442	0.000000
0.444	0.000000
0.446	0.000000
0.448	0.000000
0.450	0.000000
0.452	0.000000
0.454	0.000000
0.456	0.000000
0.458	0.000000
0.460	0.000000
0.462	0.000000
0.464	0.000000
0.466	0.000000
0.468	0.000000
0.470	0.000000
0.472	0.000000
0.474	0.000000
0.476	0.000000
0.478	0.000000
0.480	0.000000
0.482	0.000000
0.484	0.000000
0.486	0.000000
0.488	0.000000
0.490	0.000000
0.492	0.000000
0.494	0.000000
0.496	0.000000
0.498	0.000000
0.500	0.000000
0.502	0.000000
0.504	0.000000
0.506	0.000000
