wl	n	k
0.45	2.105399121	0
0.4855	2.064159181	0
0.521	2.036404658	0
0.5565	2.016562022	0
0.592	2.001743183	0
0.6275	1.990303413	0
0.663	1.98123843	0
0.6985	1.973901163	0
0.734	1.967856502	0
0.7695	1.962801502	0
0.805	1.958519045	0
0.8405	1.954849675	0
0.876	1.951673804	0
0.9115	1.948900107	0
0.947	1.946457725	0
0.9825	1.944290902	0
1.018	1.942355217	0
1.054	1.94059162	0
1.089	1.939040775	0
1.125	1.937589726	0
1.16	1.936299677	0
1.196	1.935080093	0
1.231	1.93398512	0
1.267	1.932940236	0
1.302	1.931993698	0
1.338	1.931082721	0
1.373	1.930250713	0
1.409	1.929443667	0
1.444	1.928701021	0
1.48	1.927975449	0
1.515	1.927303142	0
1.551	1.926641929	0
1.586	1.926025354	0
1.622	1.925415259	0
1.657	1.924843037	0
1.693	1.92427368	0
1.728	1.923736835	0
1.764	1.923199979	0
1.799	1.922691347	0
1.835	1.922180386	0
1.87	1.921694193	0
1.906	1.921203774	0
1.941	1.920735319	0
1.977	1.920261067	0
2.012	1.919806493	0
2.048	1.919344801	0
2.083	1.918900916	0
2.119	1.918448788	0
2.154	1.918012931	0
2.19	1.917567863	0
2.225	1.9171378	0
2.261	1.916697682	0
2.296	1.916271528	0
2.332	1.915834574	0
2.367	1.915410727	0
2.403	1.914975414	0
2.438	1.914552505	0
2.474	1.914117529	0
2.509	1.913694382	0
2.545	1.913258622	0
2.58	1.912834223	0
2.616	1.912396707	0
2.651	1.911970177	0
2.687	1.911530062	0
2.722	1.911100634	0
2.758	1.910657183	0
2.793	1.910224188	0
2.829	1.909776756	0
2.864	1.909339606	0
2.9	1.908887624	0
2.935	1.9084458	0
2.971	1.907988768	0
3.006	1.907541811	0
3.042	1.907079284	0
3.077	1.906626787	0
3.113	1.906158369	0
3.148	1.905699968	0
3.184	1.905225307	0
3.219	1.904760678	0
3.255	1.904279457	0
3.29	1.903808309	0
3.326	1.903320244	0
3.361	1.902842315	0
3.397	1.902347149	0
3.432	1.901862201	0
3.468	1.901359704	0
3.503	1.900867523	0
3.539	1.900357484	0
3.574	1.899857875	0
3.61	1.899340103	0
3.645	1.898832889	0
3.681	1.898307208	0
3.716	1.897792227	0
3.752	1.897258478	0
3.787	1.89673558	0
3.823	1.896193618	0
3.858	1.895662666	0
3.894	1.895112354	0
3.929	1.894573223	0
3.965	1.894014437	0
4	1.893467009	0
