# Wavelength(nm) T fR bR
210 0.0060 0.1508 0.0011
215 0.0078 0.1505 0.0011
220 0.0082 0.1479 0.0011
225 0.0074 0.1435 0.0011
230 0.0062 0.1382 0.0011
235 0.0044 0.1326 0.0010
240 0.0035 0.1274 0.0010
245 0.0037 0.1232 0.0010
250 0.0057 0.1205 0.0010
255 0.0087 0.1193 0.0011
260 0.0124 0.1184 0.0012
265 0.0157 0.1149 0.0014
270 0.0167 0.1053 0.0015
275 0.0166 0.0879 0.0015
280 0.0164 0.0673 0.0014
285 0.0173 0.0484 0.0014
290 0.0190 0.0348 0.0013
295 0.0218 0.0286 0.0013
300 0.0250 0.0305 0.0013
305 0.0300 0.0388 0.0013
310 0.0336 0.0496 0.0013
315 0.0807 0.0592 0.0027
320 0.3620 0.0663 0.0331
325 0.5375 0.0713 0.0692
330 0.6035 0.0730 0.0853
335 0.6327 0.0737 0.0909
340 0.6489 0.0736 0.0924
345 0.6675 0.0726 0.0942
350 0.6875 0.0709 0.0958
355 0.7021 0.0691 0.0956
360 0.7175 0.0672 0.0952
365 0.7365 0.0649 0.0955
370 0.7564 0.0626 0.0958
375 0.7716 0.0604 0.0947
380 0.7821 0.0581 0.0924
385 0.7926 0.0560 0.0902
390 0.7994 0.0540 0.0872
395 0.8050 0.0521 0.0841
400 0.8136 0.0504 0.0818
405 0.8208 0.0488 0.0795
410 0.8277 0.0475 0.0773
415 0.8325 0.0464 0.0750
420 0.8361 0.0456 0.0728
425 0.8401 0.0450 0.0710
430 0.8453 0.0447 0.0697
435 0.8466 0.0447 0.0681
440 0.8509 0.0449 0.0673
445 0.8531 0.0454 0.0666
450 0.8549 0.0462 0.0661
455 0.8544 0.0472 0.0656
460 0.8562 0.0485 0.0659
465 0.8558 0.0501 0.0662
470 0.8550 0.0519 0.0667
475 0.8565 0.0539 0.0680
480 0.8540 0.0563 0.0690
485 0.8530 0.0588 0.0705
490 0.8507 0.0615 0.0722
495 0.8499 0.0645 0.0744
500 0.8461 0.0677 0.0764
505 0.8429 0.0710 0.0788
510 0.8394 0.0746 0.0814
515 0.8357 0.0782 0.0843
520 0.8326 0.0821 0.0875
525 0.8276 0.0861 0.0905
530 0.8241 0.0902 0.0941
535 0.8197 0.0945 0.0976
540 0.8160 0.0989 0.1015
545 0.8122 0.1035 0.1055
