# Wavelength(nm) T fR bR
210 0.0049 0.1492 0.0401
215 0.0046 0.1491 0.0400
220 0.0043 0.1466 0.0400
225 0.0043 0.1424 0.0400
230 0.0041 0.1372 0.0400
235 0.0039 0.1318 0.0400
240 0.0044 0.1268 0.0400
245 0.0049 0.1229 0.0400
250 0.0087 0.1206 0.0401
255 0.0175 0.1199 0.0404
260 0.0315 0.1195 0.0415
265 0.0479 0.1160 0.0437
270 0.0639 0.1061 0.0473
275 0.0814 0.0882 0.0522
280 0.1023 0.0673 0.0577
285 0.1308 0.0485 0.0636
290 0.1694 0.0359 0.0691
295 0.2201 0.0316 0.0745
300 0.2811 0.0363 0.0799
305 0.3463 0.0484 0.0859
310 0.4094 0.0630 0.0941
315 0.4662 0.0761 0.1038
320 0.5137 0.0862 0.1134
325 0.5556 0.0937 0.1227
330 0.5888 0.0973 0.1311
335 0.6198 0.0999 0.1381
340 0.6435 0.1013 0.1424
345 0.6682 0.1017 0.1467
350 0.6861 0.1012 0.1482
355 0.7019 0.1003 0.1486
360 0.7184 0.0992 0.1489
365 0.7294 0.0975 0.1472
370 0.7410 0.0958 0.1455
375 0.7510 0.0941 0.1432
380 0.7597 0.0921 0.1406
385 0.7675 0.0903 0.1378
390 0.7743 0.0885 0.1347
395 0.7814 0.0867 0.1319
400 0.7865 0.0851 0.1289
405 0.7929 0.0836 0.1263
410 0.7997 0.0825 0.1240
415 0.8021 0.0813 0.1211
420 0.8066 0.0804 0.1189
425 0.8090 0.0797 0.1166
430 0.8125 0.0792 0.1148
435 0.8132 0.0789 0.1129
440 0.8168 0.0790 0.1117
445 0.8183 0.0793 0.1106
450 0.8210 0.0799 0.1101
455 0.8217 0.0807 0.1095
460 0.8220 0.0817 0.1092
465 0.8219 0.0829 0.1092
470 0.8222 0.0845 0.1096
475 0.8197 0.0861 0.1099
480 0.8209 0.0882 0.1111
485 0.8193 0.0904 0.1122
490 0.8157 0.0926 0.1133
495 0.8143 0.0953 0.1150
500 0.8109 0.0980 0.1168
505 0.8081 0.1009 0.1188
510 0.8066 0.1042 0.1215
515 0.8032 0.1075 0.1240
520 0.7971 0.1108 0.1262
525 0.7949 0.1145 0.1295
530 0.7910 0.1182 0.1325
535 0.7877 0.1222 0.1359
540 0.7835 0.1263 0.1393
545 0.7799 0.1306 0.1431
550 0.7731 0.1347 0.1461
555 0.7686 0.1392 0.1499
560 0.7647 0.1438 0.1540
565 0.7600 0.1485 0.1580
570 0.7552 0.1533 0.1621
575 0.7503 0.1582 0.1663
580 0.7438 0.1631 0.1701
585 0.7395 0.1682 0.1747
590 0.7337 0.1734 0.1789
595 0.7278 0.1785 0.1832
600 0.7241 0.1839 0.1884
605 0.7174 0.1891 0.1924
610 0.7144 0.1947 0.1981
615 0.7091 0.2001 0.2029
620 0.7016 0.2055 0.2067
625 0.6977 0.2111 0.2123
630 0.6909 0.2165 0.2165
635 0.6862 0.2221 0.2218
640 0.6815 0.2278 0.2272
645 0.6768 0.2334 0.2326
650 0.6700 0.2390 0.2368
655 0.6659 0.2447 0.2427
660 0.6598 0.2503 0.2473
665 0.6558 0.2560 0.2533
670 0.6490 0.2616 0.2575
675 0.6436 0.2673 0.2626
680 0.6389 0.2730 0.2682
685 0.6341 0.2786 0.2738
690 0.6262 0.2841 0.2769
695 0.6208 0.2897 0.2820
700 0.6162 0.2954 0.2876
705 0.6109 0.3009 0.2926
710 0.6050 0.3065 0.2972
715 0.5997 0.3120 0.3022
720 0.5951 0.3176 0.3078
725 0.5893 0.3230 0.3122
730 0.5848 0.3285 0.3178
735 0.5790 0.3339 0.3221
740 0.5739 0.3393 0.3271
745 0.5689 0.3447 0.3320
750 0.5650 0.3501 0.3381
755 0.5600 0.3554 0.3430
760 0.5539 0.3606 0.3466
765 0.5490 0.3658 0.3514
770 0.5446 0.3710 0.3568
775 0.5398 0.3762 0.3615
780 0.5344 0.3813 0.3656
785 0.5302 0.3864 0.3709
790 0.5260 0.3915 0.3763
795 0.5208 0.3964 0.3802
800 0.5156 0.4014 0.3841
805 0.5115 0.4063 0.3894
810 0.5069 0.4112 0.3939
815 0.5029 0.4161 0.3991
820 0.4974 0.4208 0.4021
825 0.4929 0.4256 0.4065
830 0.4880 0.4302 0.4101
835 0.4837 0.4349 0.4144
840 0.4799 0.4396 0.4194
845 0.4756 0.4441 0.4237
850 0.4709 0.4486 0.4271
855 0.4671 0.4532 0.4321
860 0.4640 0.4576 0.4379
865 0.4618 0.4621 0.4453
870 0.4567 0.4665 0.4478
875 0.4522 0.4708 0.4510
880 0.4482 0.4750 0.4550
885 0.4442 0.4793 0.4590
890 0.4394 0.4834 0.4612
895 0.4355 0.4876 0.4651
900 0.4321 0.4917 0.4698
905 0.4292 0.4958 0.4754
910 0.4255 0.4998 0.4792
915 0.4218 0.5038 0.4830
920 0.4176 0.5077 0.4858
925 0.4140 0.5116 0.4894
930 0.4104 0.5155 0.4931
935 0.4068 0.5193 0.4967
940 0.4029 0.5231 0.4993
945 0.3998 0.5268 0.5038
950 0.3964 0.5305 0.5073
955 0.3929 0.5342 0.5108
960 0.3896 0.5378 0.5142
965 0.3862 0.5414 0.5176
970 0.3833 0.5450 0.5219
975 0.3796 0.5485 0.5243
980 0.3764 0.5519 0.5275
985 0.3732 0.5554 0.5308
990 0.3700 0.5588 0.5340
995 0.3669 0.5621 0.5372
1000 0.3638 0.5654 0.5404
1005 0.3608 0.5687 0.5435
1010 0.3577 0.5720 0.5466
1015 0.3547 0.5752 0.5496
1020 0.3518 0.5784 0.5527
1025 0.3488 0.5815 0.5557
1030 0.3459 0.5846 0.5586
1035 0.3431 0.5877 0.5615
1040 0.3402 0.5908 0.5644
1045 0.3374 0.5938 0.5673
1050 0.3347 0.5968 0.5702
1055 0.3319 0.5997 0.5730
1060 0.3292 0.6026 0.5757
1065 0.3262 0.6055 0.5774
1070 0.3239 0.6084 0.5812
1075 0.3213 0.6112 0.5839
1080 0.3190 0.6140 0.5877
1085 0.3164 0.6167 0.5903
1090 0.3139 0.6195 0.5930
1095 0.3114 0.6222 0.5956
1100 0.3089 0.6248 0.5981
1105 0.3061 0.6275 0.5995
1110 0.3033 0.6301 0.6008
1115 0.3009 0.6327 0.6033
1120 0.2989 0.6353 0.6069
1125 0.2965 0.6378 0.6093
1130 0.2942 0.6403 0.6117
1135 0.2919 0.6428 0.6141
1140 0.2896 0.6452 0.6165
1145 0.2874 0.6476 0.6188
1150 0.2851 0.6500 0.6211
1155 0.2826 0.6524 0.6222
1160 0.2804 0.6548 0.6244
1165 0.2786 0.6571 0.6278
1170 0.2770 0.6594 0.6325
1175 0.2746 0.6617 0.6335
1180 0.2725 0.6639 0.6356
1185 0.2704 0.6662 0.6378
1190 0.2681 0.6684 0.6386
1195 0.2661 0.6705 0.6407
1200 0.2646 0.6727 0.6453
1205 0.2627 0.6749 0.6474
1210 0.2604 0.6770 0.6482
1215 0.2582 0.6790 0.6489
1220 0.2563 0.6811 0.6509
1225 0.2544 0.6832 0.6529
1230 0.2528 0.6852 0.6561
1235 0.2509 0.6872 0.6580
1240 0.2490 0.6892 0.6599
1245 0.2472 0.6912 0.6618
1250 0.2454 0.6931 0.6637
1255 0.2436 0.6950 0.6656
1260 0.2419 0.6969 0.6674
1265 0.2398 0.6988 0.6679
1270 0.2381 0.7007 0.6697
1275 0.2364 0.7025 0.6715
1280 0.2350 0.7044 0.6746
1285 0.2335 0.7062 0.6776
1290 0.2316 0.7080 0.6781
1295 0.2300 0.7097 0.6798
1300 0.2286 0.7115 0.6828
1305 0.2270 0.7132 0.6845
1310 0.2254 0.7150 0.6861
1315 0.2238 0.7167 0.6878
1320 0.2222 0.7183 0.6894
1325 0.2207 0.7200 0.6910
1330 0.2191 0.7217 0.6926
1335 0.2176 0.7233 0.6942
1340 0.2161 0.7249 0.6958
1345 0.2146 0.7265 0.6974
1350 0.2129 0.7281 0.6975
1355 0.2114 0.7297 0.6991
1360 0.2098 0.7312 0.6992
1365 0.2086 0.7328 0.7021
1370 0.2071 0.7343 0.7035
1375 0.2057 0.7358 0.7050
1380 0.2043 0.7373 0.7064
1385 0.2030 0.7388 0.7079
1390 0.2016 0.7403 0.7093
1395 0.2000 0.7417 0.7093
1400 0.1983 0.7432 0.7079
1405 0.1970 0.7446 0.7093
1410 0.1957 0.7460 0.7107
1415 0.1944 0.7474 0.7120
1420 0.1931 0.7488 0.7134
1425 0.1918 0.7502 0.7147
1430 0.1907 0.7515 0.7174
1435 0.1893 0.7529 0.7173
1440 0.1883 0.7542 0.7200
1445 0.1872 0.7555 0.7227
1450 0.1860 0.7569 0.7239
1455 0.1848 0.7582 0.7252
1460 0.1838 0.7594 0.7279
1465 0.1826 0.7607 0.7291
1470 0.1815 0.7620 0.7303
1475 0.1803 0.7632 0.7316
1480 0.1790 0.7645 0.7313
1485 0.1778 0.7657 0.7325
1490 0.1769 0.7669 0.7351
1495 0.1758 0.7681 0.7363
1500 0.1751 0.7693 0.7404
1505 0.1740 0.7705 0.7415
1510 0.1727 0.7717 0.7412
1515 0.1718 0.7728 0.7438
1520 0.1707 0.7740 0.7449
1525 0.1697 0.7751 0.7460
1530 0.1686 0.7762 0.7471
1535 0.1676 0.7774 0.7482
1540 0.1665 0.7785 0.7493
1545 0.1655 0.7796 0.7504
1550 0.1645 0.7807 0.7514
1555 0.1635 0.7818 0.7525
1560 0.1625 0.7828 0.7535
1565 0.1615 0.7839 0.7546
1570 0.1605 0.7849 0.7556
1575 0.1594 0.7860 0.7551
1580 0.1584 0.7870 0.7561
1585 0.1575 0.7880 0.7571
1590 0.1565 0.7890 0.7581
1595 0.1554 0.7901 0.7576
1600 0.1547 0.7910 0.7601
1605 0.1536 0.7920 0.7596
1610 0.1527 0.7930 0.7605
1615 0.1518 0.7940 0.7615
1620 0.1509 0.7950 0.7624
1625 0.1498 0.7959 0.7618
1630 0.1490 0.7969 0.7627
1635 0.1483 0.7978 0.7652
1640 0.1476 0.7987 0.7676
1645 0.1465 0.7996 0.7670
1650 0.1457 0.8006 0.7679
1655 0.1450 0.8015 0.7703
1660 0.1442 0.8024 0.7711
1665 0.1432 0.8033 0.7705
1670 0.1424 0.8041 0.7713
1675 0.1417 0.8050 0.7737
1680 0.1407 0.8059 0.7730
1685 0.1400 0.8068 0.7739
1690 0.1390 0.8076 0.7732
1695 0.1384 0.8085 0.7755
1700 0.1376 0.8093 0.7764
1705 0.1367 0.8101 0.7756
1710 0.1359 0.8110 0.7764
1715 0.1351 0.8118 0.7772
1720 0.1344 0.8126 0.7780
1725 0.1338 0.8134 0.7804
1730 0.1330 0.8142 0.7811
1735 0.1323 0.8150 0.7819
1740 0.1313 0.8158 0.7796
1745 0.1307 0.8166 0.7819
1750 0.1300 0.8173 0.7827
1755 0.1294 0.8181 0.7850
1760 0.1286 0.8189 0.7841
1765 0.1279 0.8196 0.7849
1770 0.1273 0.8204 0.7872
1775 0.1265 0.8211 0.7863
1780 0.1258 0.8219 0.7871
1785 0.1251 0.8226 0.7878
1790 0.1245 0.8233 0.7885
1795 0.1237 0.8240 0.7876
1800 0.1233 0.8248 0.7914
1805 0.1231 0.8255 0.7984
1810 0.1224 0.8262 0.7975
1815 0.1220 0.8269 0.8014
1820 0.1213 0.8276 0.8020
1825 0.1207 0.8283 0.8027
1830 0.1199 0.8289 0.8018
1835 0.1193 0.8296 0.8025
1840 0.1187 0.8303 0.8031
1845 0.1178 0.8309 0.8006
1850 0.1172 0.8316 0.8013
1855 0.1168 0.8323 0.8051
1860 0.1163 0.8329 0.8073
1865 0.1154 0.8336 0.8032
1870 0.1146 0.8342 0.8022
1875 0.1143 0.8348 0.8060
1880 0.1135 0.8355 0.8035
1885 0.1128 0.8361 0.8025
1890 0.1123 0.8367 0.8047
1895 0.1117 0.8373 0.8053
1900 0.1110 0.8379 0.8043
1905 0.1105 0.8385 0.8049
1910 0.1099 0.8391 0.8055
1915 0.1093 0.8397 0.8045
1920 0.1086 0.8403 0.8035
1925 0.1080 0.8409 0.8040
1930 0.1077 0.8415 0.8078
1935 0.1071 0.8421 0.8068
1940 0.1068 0.8427 0.8105
1945 0.1062 0.8432 0.8111
1950 0.1055 0.8438 0.8085
1955 0.1051 0.8444 0.8106
1960 0.1046 0.8449 0.8111
1965 0.1040 0.8455 0.8117
1970 0.1036 0.8460 0.8138
1975 0.1034 0.8466 0.8176
1980 0.1030 0.8471 0.8198
1985 0.1024 0.8477 0.8187
1990 0.1016 0.8482 0.8160
1995 0.1009 0.8487 0.8133
2000 0.1004 0.8493 0.8138
2005 0.1001 0.8498 0.8159
2010 0.0995 0.8503 0.8148
2015 0.0991 0.8508 0.8169
2020 0.0987 0.8513 0.8190
2025 0.0984 0.8519 0.8212
2030 0.0979 0.8524 0.8217
2035 0.0975 0.8529 0.8238
2040 0.0971 0.8534 0.8243
2045 0.0962 0.8539 0.8182
2050 0.0954 0.8543 0.8139
2055 0.0953 0.8548 0.8192
2060 0.0949 0.8553 0.8213
2065 0.0942 0.8558 0.8169
2070 0.0938 0.8563 0.8190
2075 0.0936 0.8568 0.8227
2080 0.0932 0.8572 0.8232
2085 0.0927 0.8577 0.8236
2090 0.0925 0.8582 0.8274
2095 0.0920 0.8586 0.8262
2100 0.0913 0.8591 0.8217
2105 0.0905 0.8595 0.8173
2110 0.0902 0.8600 0.8193
2115 0.0898 0.8604 0.8198
2120 0.0895 0.8609 0.8218
2125 0.0892 0.8613 0.8239
2130 0.0887 0.8618 0.8227
2135 0.0881 0.8622 0.8198
2140 0.0874 0.8626 0.8154
2145 0.0869 0.8631 0.8142
2150 0.0866 0.8635 0.8162
2155 0.0862 0.8639 0.8166
2160 0.0857 0.8643 0.8154
2165 0.0852 0.8648 0.8125
2170 0.0848 0.8652 0.8129
2175 0.0843 0.8656 0.8117
2180 0.0837 0.8660 0.8072
2185 0.0832 0.8664 0.8060
2190 0.0827 0.8668 0.8031
2195 0.0823 0.8672 0.8035
2200 0.0818 0.8676 0.8023
2205 0.0814 0.8680 0.8010
2210 0.0809 0.8684 0.7998
