Wavelength	n	k
0.190700	1.631000	0.778000
0.191300	1.617000	0.767600
0.191900	1.604000	0.757800
0.192500	1.590000	0.748600
0.193100	1.576000	0.739900
0.193700	1.561000	0.731700
0.194300	1.547000	0.724100
0.194900	1.532000	0.717000
0.195600	1.518000	0.710500
0.196200	1.503000	0.704500
0.196800	1.488000	0.699000
0.197400	1.473000	0.694000
0.198100	1.458000	0.689600
0.198700	1.443000	0.685700
0.199300	1.428000	0.682300
0.200000	1.412000	0.679500
0.200600	1.397000	0.677200
0.201300	1.381000	0.675400
0.201900	1.366000	0.674200
0.202600	1.351000	0.673500
0.203300	1.335000	0.673400
0.203900	1.320000	0.673900
0.204600	1.304000	0.674900
0.205300	1.289000	0.676500
0.206000	1.273000	0.678700
0.206600	1.258000	0.681400
0.207300	1.242000	0.684800
0.208000	1.227000	0.688800
0.208700	1.212000	0.693400
0.209400	1.197000	0.698600
0.210100	1.182000	0.704500
0.210900	1.168000	0.711000
0.211600	1.154000	0.718200
0.212300	1.140000	0.726000
0.213000	1.126000	0.734400
0.213800	1.112000	0.743500
0.214500	1.099000	0.753300
0.215300	1.087000	0.763700
0.216000	1.075000	0.774700
0.216800	1.063000	0.786300
0.217500	1.052000	0.798500
0.218300	1.042000	0.811200
0.219100	1.032000	0.824500
0.219800	1.023000	0.838300
0.220600	1.014000	0.852500
0.221400	1.007000	0.867200
0.222200	0.999700	0.882300
0.223000	0.993800	0.897600
0.223800	0.988600	0.913300
0.224600	0.984400	0.929100
0.225400	0.981200	0.945100
0.226300	0.978800	0.961200
0.227100	0.977500	0.977400
0.227900	0.977100	0.993400
0.228800	0.977600	1.009000
0.229600	0.979200	1.025000
0.230500	0.981700	1.041000
0.231300	0.985200	1.056000
0.232200	0.989600	1.071000
0.233100	0.995000	1.085000
0.233900	1.001000	1.098000
0.234800	1.008000	1.111000
0.235700	1.016000	1.124000
0.236600	1.025000	1.135000
0.237500	1.034000	1.146000
0.238400	1.044000	1.155000
0.239400	1.055000	1.164000
0.240300	1.066000	1.171000
0.241200	1.077000	1.177000
0.242200	1.089000	1.182000
0.243100	1.101000	1.186000
0.244100	1.112000	1.188000
0.245000	1.124000	1.190000
0.246000	1.135000	1.189000
0.247000	1.146000	1.188000
0.248000	1.157000	1.185000
0.249000	1.167000	1.181000
0.250000	1.176000	1.176000
0.251000	1.184000	1.170000
0.252000	1.190000	1.163000
0.253000	1.196000	1.155000
0.254100	1.201000	1.146000
0.255100	1.204000	1.137000
0.256200	1.205000	1.127000
0.257200	1.205000	1.117000
0.258300	1.204000	1.107000
0.259400	1.200000	1.097000
0.260500	1.196000	1.087000
0.261600	1.189000	1.078000
0.262700	1.181000	1.069000
0.263800	1.172000	1.061000
0.264900	1.161000	1.054000
0.266100	1.149000	1.048000
0.267200	1.135000	1.044000
0.268400	1.120000	1.041000
0.269500	1.104000	1.040000
0.270700	1.088000	1.041000
0.271900	1.070000	1.044000
0.273100	1.052000	1.050000
0.274300	1.034000	1.058000
0.275500	1.016000	1.069000
0.276800	0.999200	1.084000
0.278000	0.983400	1.102000
0.279200	0.969500	1.123000
0.280500	0.958400	1.148000
0.281800	0.951000	1.177000
0.283100	0.948400	1.208000
0.284400	0.951800	1.242000
0.285700	0.962600	1.278000
0.287000	0.982300	1.314000
0.288300	1.012000	1.347000
0.289700	1.053000	1.376000
0.291000	1.104000	1.395000
0.292400	1.164000	1.401000
0.293800	1.230000	1.389000
0.295200	1.293000	1.356000
0.296600	1.347000	1.303000
0.298000	1.384000	1.234000
0.299500	1.401000	1.158000
0.300900	1.397000	1.081000
0.302400	1.376000	1.009000
