Wavelength(nm)	n	k
190.77	0.783	2.3
191.51	0.7844	2.3135
192.25	0.7858	2.3281
193	0.7873	2.3437
193.75	0.789	2.36
194.51	0.7909	2.377
195.28	0.7929	2.3944
196.05	0.7953	2.4121
196.83	0.798	2.43
197.61	0.8011	2.4475
198.4	0.8046	2.465
199.2	0.8086	2.4825
200	0.813	2.5
200.81	0.8187	2.5175
201.63	0.8246	2.535
202.45	0.8304	2.5525
203.28	0.836	2.57
204.12	0.8389	2.5865
204.96	0.8419	2.6034
205.81	0.8454	2.6211
206.67	0.85	2.64
207.53	0.8563	2.6605
208.4	0.8621	2.6806
209.28	0.8677	2.7004
210.17	0.873	2.72
211.06	0.8783	2.7396
211.97	0.8836	2.7594
212.88	0.8892	2.7795
213.79	0.895	2.8
214.72	0.9016	2.8216
215.65	0.9087	2.8438
216.59	0.9161	2.8666
217.54	0.924	2.89
218.5	0.9322	2.9145
219.47	0.9408	2.9394
220.44	0.9497	2.9646
221.43	0.959	2.99
222.42	0.9682	3.0146
223.42	0.9779	3.0394
224.43	0.9885	3.0645
225.45	1	3.09
226.48	1.0136	3.117
227.52	1.0282	3.1444
228.57	1.0437	3.1721
229.63	1.06	3.2
230.7	1.0762	3.2275
231.78	1.0931	3.255
232.86	1.111	3.2825
233.96	1.13	3.31
235.07	1.1506	3.3375
236.19	1.1725	3.365
237.32	1.1956	3.3925
238.46	1.22	3.42
239.61	1.2456	3.4483
240.78	1.2725	3.4763
241.95	1.3006	3.5036
243.14	1.33	3.53
244.33	1.3606	3.554
245.54	1.3925	3.5769
246.77	1.4256	3.5988
248	1.46	3.62
249.25	1.4968	3.6413
250.51	1.5344	3.6619
251.78	1.5723	3.6815
253.06	1.61	3.7
254.36	1.6452	3.7165
255.67	1.68	3.7319
256.99	1.7148	3.7463
258.33	1.75	3.76
259.69	1.7866	3.7738
261.05	1.8238	3.7869
262.43	1.8616	3.799
263.83	1.9	3.81
265.24	1.9398	3.8186
266.67	1.98	3.8263
268.11	2.0202	3.8333
269.57	2.06	3.84
271.04	2.0969	3.8483
272.53	2.1338	3.8563
274.03	2.1713	3.8636
275.56	2.21	3.87
277.09	2.2526	3.8748
278.65	2.2969	3.8781
280.23	2.3427	3.8799
281.82	2.39	3.88
283.43	2.4397	3.8794
285.06	2.49	3.8763
286.71	2.5403	3.87
288.37	2.59	3.86
290.06	2.6377	3.8417
291.76	2.6838	3.82
293.49	2.728	3.7958
295.24	2.77	3.77
297.01	2.8087	3.7479
298.8	2.845	3.7244
300.61	2.8788	3.6987
302.44	2.91	3.67
304.29	2.9399	3.6313
306.17	2.9669	3.5906
308.07	2.9904	3.5496
310	3.01	3.51
311.95	3.0225	3.479
313.92	3.0313	3.4506
315.92	3.0369	3.4245
317.95	3.04	3.4
320	3.0416	3.3745
322.08	3.0419	3.3506
324.18	3.0412	3.329
326.32	3.04	3.31
328.48	3.0396	3.2969
330.67	3.0394	3.2863
332.89	3.0395	3.2775
335.14	3.04	3.27
337.41	3.042	3.262
339.73	3.0444	3.2544
342.07	3.0471	3.2471
344.44	3.05	3.24
346.85	3.0529	3.2321
349.3	3.0556	3.2244
351.77	3.058	3.217
354.29	3.06	3.21
356.83	3.0605	3.2041
359.42	3.0606	3.1988
362.04	3.0604	3.1941
364.71	3.06	3.19
367.41	3.0604	3.1866
370.15	3.0606	3.1838
372.93	3.0605	3.1816
375.76	3.06	3.18
