wl	n	k
0.2	2.06	0.1439
0.21	2.009	0.1161
0.22	1.966	9.50E-02
0.23	1.931	7.85E-02
0.24	1.901	6.54E-02
0.25	1.876	5.47E-02
0.26	1.854	4.59E-02
0.27	1.834	3.86E-02
0.28	1.817	3.24E-02
0.29	1.802	2.72E-02
0.3	1.788	2.27E-02
0.31	1.776	1.89E-02
0.32	1.765	1.57E-02
0.33	1.755	1.29E-02
0.34	1.746	1.05E-02
0.35	1.738	8.41E-03
0.36	1.73	6.66E-03
0.37	1.723	5.17E-03
0.38	1.717	3.92E-03
0.39	1.711	2.88E-03
0.4	1.705	2.03E-03
0.41	1.7	1.35E-03
0.42	1.695	8.21E-04
0.43	1.691	4.35E-04
0.44	1.687	1.76E-04
0.45	1.683	3.51E-05
0.46	1.68	0
0.47	1.677	0
0.48	1.674	0
0.49	1.671	0
0.5	1.669	0
0.51	1.667	0
0.52	1.665	0
0.53	1.663	0
0.54	1.661	0
0.55	1.659	0
0.56	1.657	0
0.57	1.656	0
0.58	1.654	0
0.59	1.653	0
0.6	1.652	0
0.61	1.651	0
0.62	1.649	0
0.63	1.648	0
0.64	1.647	0
0.65	1.646	0
0.66	1.645	0
0.67	1.645	0
0.68	1.644	0
0.69	1.643	0
0.7	1.642	0
0.71	1.641	0
0.72	1.641	0
0.73	1.64	0
0.74	1.639	0
0.75	1.639	0
0.76	1.638	0
0.77	1.638	0
0.78	1.637	0
0.79	1.636	0
0.8	1.636	0
0.81	1.635759163	0
0.82	1.635520226	0
0.83	1.635281289	0
0.84	1.635042352	0
0.85	1.634803415	0
0.86	1.634564478	0
0.87	1.634325542	0
0.88	1.634086605	0
0.89	1.633847668	0
0.9	1.633608731	0
0.91	1.633369794	0
0.92	1.633130857	0
0.93	1.632891921	0
0.94	1.632652984	0
0.95	1.632414047	0
0.96	1.63217511	0
0.97	1.631936173	0
0.98	1.631697236	0
0.99	1.6314583	0
1	1.631219363	0
1.01	1.630980426	0
1.02	1.630741489	0
1.03	1.630502552	0
1.04	1.630263616	0
1.05	1.630024679	0
1.06	1.629785742	0
1.07	1.629546805	0
1.08	1.629307868	0
1.09	1.629068931	0
1.1	1.628829995	0
1.11	1.628591058	0
1.12	1.628352121	0
1.13	1.628113184	0
1.14	1.627874247	0
1.15	1.62763531	0
1.16	1.627396374	0
1.17	1.627157437	0
1.18	1.6269185	0
1.19	1.626679563	0
1.2	1.626440626	0
1.21	1.626201689	0
1.22	1.625962753	0
1.23	1.625723816	0
1.24	1.625484879	0
1.25	1.625245942	0
1.26	1.625007005	0
1.27	1.624768069	0
1.28	1.624529132	0
1.29	1.624290195	0
1.3	1.624051258	0
1.31	1.623812321	0
1.32	1.623573384	0
1.33	1.623334448	0
1.34	1.623095511	0
1.35	1.622856574	0
1.36	1.622617637	0
1.37	1.6223787	0
1.38	1.622139763	0
1.39	1.621900827	0
1.4	1.62166189	0
1.41	1.621422953	0
1.42	1.621184016	0
1.43	1.620945079	0
1.44	1.620706142	0
1.45	1.620467205	0
1.46	1.620228268	0
1.47	1.619989331	0
1.48	1.619750394	0
1.49	1.619511457	0
1.5	1.61927252	0
1.51	1.619033583	0
1.52	1.618794646	0
1.53	1.618555709	0
1.54	1.618316772	0
1.55	1.618077835	0
1.56	1.617838898	0
1.57	1.617599961	0
1.58	1.617361024	0
1.59	1.617122087	0
1.6	1.61688315	0
1.61	1.616644213	0
1.62	1.616405276	0
1.63	1.616166339	0
1.64	1.615927402	0
1.65	1.615688465	0
1.66	1.615449528	0
1.67	1.615210591	0
1.68	1.614971654	0
1.69	1.614732717	0
1.7	1.61449378	0
1.71	1.614254843	0
1.72	1.614015906	0
1.73	1.613776969	0
1.74	1.613538032	0
1.75	1.613299095	0
1.76	1.613060158	0
1.77	1.612821221	0
1.78	1.612582284	0
1.79	1.612343347	0
1.8	1.61210441	0
1.81	1.611865473	0
1.82	1.611626536	0
1.83	1.611387599	0
1.84	1.611148662	0
1.85	1.610909725	0
1.86	1.610670788	0
1.87	1.610431851	0
1.88	1.610192914	0
1.89	1.609953977	0
1.9	1.60971504	0
1.91	1.609476103	0
1.92	1.609237166	0
1.93	1.608998229	0
1.94	1.608759292	0
1.95	1.608520355	0
1.96	1.608281418	0
1.97	1.608042481	0
1.98	1.607803544	0
1.99	1.607564607	0
2	1.60732567	0
2.01	1.607086733	0
2.02	1.606847796	0
2.03	1.606608859	0
2.04	1.606369922	0
2.05	1.606130985	0
2.06	1.605892049	0
2.07	1.605653112	0
2.08	1.605414175	0
2.09	1.605175238	0
2.1	1.604936301	0
2.11	1.604697364	0
2.12	1.604458427	0
2.13	1.60421949	0
2.14	1.603980553	0
2.15	1.603741616	0
2.16	1.603502679	0
2.17	1.603263742	0
2.18	1.603024805	0
2.19	1.602785868	0
2.2	1.602546931	0
2.21	1.602307994	0
2.22	1.602069057	0
2.23	1.60183012	0
2.24	1.601591183	0
2.25	1.601352246	0
2.26	1.601113309	0
2.27	1.600874372	0
2.28	1.600635435	0
2.29	1.600396498	0
2.3	1.600157561	0
2.31	1.599918624	0
2.32	1.599679687	0
2.33	1.59944075	0
2.34	1.599201813	0
2.35	1.598962876	0
2.36	1.598723939	0
2.37	1.598485002	0
2.38	1.598246065	0
2.39	1.598007128	0
2.4	1.597768191	0
2.41	1.597529254	0
2.42	1.597290317	0
2.43	1.59705138	0
2.44	1.596812443	0
2.45	1.596573506	0
2.46	1.596334569	0
2.47	1.596095632	0
2.48	1.595856695	0
2.49	1.595617758	0
2.5	1.595378821	0
