{ Units, Wavelength Units } SI Nanometers
{ Thickness } 1.000
{ Conductivity } 1.000
{ Emissivity, front back } Emis= 0.025 0.840
{ Type: Coated }
{ Coated Side: Front }

300 0.359 0.0479 0.0479
305 0.424 0.0595 0.0595
310 0.491 0.0734 0.0734
315 0.549 0.0854 0.0854
320 0.601 0.0937 0.0937
325 0.646 0.098 0.098
330 0.684 0.098 0.098
335 0.713 0.0967 0.0967
340 0.738 0.0947 0.0947
345 0.757 0.0918 0.0918
350 0.772 0.0886 0.0886
355 0.784 0.085 0.085
360 0.796 0.0815 0.0815
365 0.804 0.0783 0.0783
370 0.812 0.0755 0.0755
375 0.827 0.073 0.073
380 0.836 0.0709 0.0709
385 0.845 0.0689 0.0689
390 0.852 0.067 0.067
395 0.857 0.0652 0.0652
400 0.861 0.0634 0.0634
405 0.865 0.0617 0.0617
410 0.867 0.0602 0.0602
415 0.87 0.0589 0.0589
420 0.872 0.0578 0.0578
425 0.873 0.057 0.057
430 0.874 0.0562 0.0562
435 0.876 0.0558 0.0558
440 0.876 0.0557 0.0557
445 0.875 0.0558 0.0558
450 0.874 0.0561 0.0561
455 0.876 0.0567 0.0567
460 0.875 0.0575 0.0575
465 0.874 0.0586 0.0586
470 0.873 0.0599 0.0599
475 0.87 0.0614 0.0614
480 0.868 0.0633 0.0633
485 0.865 0.0656 0.0656
490 0.864 0.0675 0.0675
495 0.861 0.0699 0.0699
500 0.857 0.0725 0.0725
505 0.856 0.0754 0.0754
510 0.852 0.0783 0.0783
515 0.847 0.0815 0.0815
520 0.845 0.0848 0.0848
525 0.841 0.0883 0.0883
530 0.835 0.092 0.092
535 0.832 0.0958 0.0958
540 0.829 0.0998 0.0998
545 0.823 0.104 0.104
550 0.818 0.108 0.108
555 0.814 0.113 0.113
560 0.807 0.117 0.117
565 0.803 0.122 0.122
570 0.797 0.126 0.126
575 0.791 0.131 0.131
580 0.788 0.136 0.136
585 0.783 0.141 0.141
590 0.776 0.146 0.146
595 0.77 0.151 0.151
600 0.765 0.156 0.156
605 0.759 0.161 0.161
610 0.756 0.167 0.167
615 0.75 0.172 0.172
620 0.744 0.177 0.177
625 0.739 0.183 0.183
630 0.734 0.188 0.188
635 0.728 0.194 0.194
640 0.722 0.199 0.199
645 0.716 0.205 0.205
650 0.709 0.21 0.21
655 0.704 0.216 0.216
660 0.699 0.221 0.221
665 0.693 0.227 0.227
670 0.688 0.232 0.232
675 0.683 0.238 0.238
680 0.676 0.243 0.243
685 0.67 0.249 0.249
690 0.666 0.255 0.255
695 0.661 0.26 0.26
700 0.655 0.266 0.266
705 0.649 0.271 0.271
710 0.644 0.277 0.277
715 0.638 0.282 0.282
720 0.632 0.288 0.288
725 0.627 0.293 0.293
730 0.621 0.298 0.298
735 0.614 0.304 0.304
740 0.609 0.309 0.309
745 0.605 0.314 0.314
750 0.598 0.32 0.32
755 0.592 0.325 0.325
760 0.588 0.33 0.33
765 0.584 0.336 0.336
770 0.577 0.341 0.341
775 0.572 0.346 0.346
780 0.566 0.351 0.351
785 0.562 0.356 0.356
790 0.557 0.361 0.361
795 0.552 0.366 0.366
800 0.546 0.371 0.371
805 0.542 0.376 0.376
810 0.54 0.38 0.38
815 0.536 0.385 0.385
820 0.53 0.39 0.39
825 0.527 0.395 0.395
830 0.522 0.399 0.399
835 0.517 0.404 0.404
840 0.512 0.408 0.408
845 0.507 0.413 0.413
850 0.504 0.417 0.417
855 0.497 0.422 0.422
860 0.494 0.426 0.426
865 0.491 0.431 0.431
870 0.486 0.435 0.435
875 0.481 0.439 0.439
880 0.478 0.444 0.444
885 0.472 0.447 0.447
890 0.469 0.452 0.452
895 0.465 0.456 0.456
900 0.466 0.457 0.457
905 0.462 0.462 0.462
910 0.458 0.466 0.466
915 0.454 0.471 0.471
920 0.45 0.474 0.474
925 0.446 0.478 0.478
930 0.442 0.483 0.483
935 0.438 0.487 0.487
