{ Units, Wavelength Units } SI Nanometers
{ Thickness } 1.000
{ Conductivity } 1.000
{ Emissivity, front back } Emis= 0.025 0.840
{ Type: Coated }
{ Coated Side: Front }

300 0.000696 0.0879 0.0879
305 0.000949 0.0872 0.0872
310 0.00135 0.0985 0.0985
315 0.00654 0.12 0.12
320 0.0103 0.144 0.144
325 0.00838 0.166 0.166
330 0.00651 0.178 0.178
335 0.0047 0.178 0.178
340 0.0037 0.171 0.171
345 0.00282 0.161 0.161
350 0.0019 0.151 0.151
355 0.00118 0.141 0.141
360 0.000407 0.13 0.13
365 0 0.121 0.121
370 0 0.111 0.111
375 0.000563 0.102 0.102
380 0.00323 0.0943 0.0943
385 0.0327 0.0878 0.0878
390 0.14 0.0839 0.0839
395 0.31 0.0851 0.0851
400 0.462 0.0894 0.0894
405 0.558 0.0934 0.0934
410 0.611 0.0962 0.0962
415 0.642 0.0983 0.0983
420 0.661 0.0999 0.0999
425 0.675 0.101 0.101
430 0.685 0.102 0.102
435 0.693 0.103 0.103
440 0.699 0.104 0.104
445 0.705 0.104 0.104
450 0.709 0.104 0.104
455 0.713 0.103 0.103
460 0.716 0.102 0.102
465 0.719 0.101 0.101
470 0.721 0.0987 0.0987
475 0.723 0.0965 0.0965
480 0.724 0.0937 0.0937
485 0.726 0.0902 0.0902
490 0.728 0.0872 0.0872
495 0.728 0.0834 0.0834
500 0.729 0.0791 0.0791
505 0.729 0.0749 0.0749
510 0.729 0.0705 0.0705
515 0.729 0.0661 0.0661
520 0.728 0.0618 0.0618
525 0.727 0.0575 0.0575
530 0.725 0.0535 0.0535
535 0.723 0.0499 0.0499
540 0.72 0.0467 0.0467
545 0.717 0.0442 0.0442
550 0.713 0.0424 0.0424
555 0.708 0.0414 0.0414
560 0.703 0.0413 0.0413
565 0.697 0.0424 0.0424
570 0.69 0.0446 0.0446
575 0.683 0.048 0.048
580 0.675 0.0528 0.0528
585 0.666 0.0588 0.0588
590 0.656 0.0662 0.0662
595 0.645 0.075 0.075
600 0.633 0.0852 0.0852
605 0.621 0.0965 0.0965
610 0.608 0.109 0.109
615 0.594 0.123 0.123
620 0.58 0.138 0.138
625 0.565 0.154 0.154
630 0.549 0.17 0.17
635 0.533 0.188 0.188
640 0.517 0.206 0.206
645 0.5 0.224 0.224
650 0.482 0.243 0.243
655 0.465 0.262 0.262
660 0.447 0.281 0.281
665 0.43 0.301 0.301
670 0.413 0.32 0.32
675 0.396 0.34 0.34
680 0.381 0.359 0.359
685 0.367 0.378 0.378
690 0.353 0.396 0.396
695 0.34 0.415 0.415
700 0.327 0.432 0.432
705 0.314 0.45 0.45
710 0.302 0.467 0.467
715 0.289 0.483 0.483
720 0.277 0.499 0.499
725 0.266 0.514 0.514
730 0.254 0.529 0.529
735 0.244 0.544 0.544
740 0.234 0.558 0.558
745 0.225 0.571 0.571
750 0.217 0.584 0.584
755 0.209 0.596 0.596
760 0.203 0.608 0.608
765 0.196 0.619 0.619
770 0.191 0.63 0.63
775 0.185 0.641 0.641
780 0.18 0.651 0.651
785 0.174 0.661 0.661
790 0.169 0.67 0.67
795 0.163 0.679 0.679
800 0.158 0.688 0.688
805 0.153 0.696 0.696
810 0.147 0.704 0.704
815 0.142 0.711 0.711
820 0.137 0.718 0.718
825 0.132 0.726 0.726
830 0.126 0.732 0.732
835 0.12 0.738 0.738
840 0.114 0.745 0.745
845 0.106 0.751 0.751
850 0.109 0.757 0.757
855 0.123 0.761 0.761
860 0.123 0.767 0.767
865 0.117 0.772 0.772
870 0.113 0.777 0.777
875 0.107 0.781 0.781
880 0.103 0.786 0.786
885 0.101 0.79 0.79
890 0.0971 0.794 0.794
895 0.094 0.798 0.798
900 0.0892 0.804 0.804
905 0.087 0.809 0.809
910 0.0838 0.812 0.812
915 0.0802 0.815 0.815
920 0.0784 0.818 0.818
925 0.0763 0.822 0.822
930 0.0742 0.826 0.826
