{ Units, Wavelength Units } SI Nanometers
{ Thickness } 1.000
{ Conductivity } 1.000
{ Emissivity, front back } Emis= 0.025 0.840
{ Type: Coated }
{ Coated Side: Front }

300 0.385 0.0465 0.0465
305 0.449 0.0545 0.0545
310 0.514 0.0668 0.0668
315 0.574 0.0796 0.0796
320 0.622 0.0905 0.0905
325 0.66 0.0976 0.0976
330 0.69 0.1 0.1
335 0.711 0.0992 0.0992
340 0.726 0.0962 0.0962
345 0.737 0.0922 0.0922
350 0.745 0.0874 0.0874
355 0.752 0.0826 0.0826
360 0.757 0.0779 0.0779
365 0.761 0.0734 0.0734
370 0.764 0.0691 0.0691
375 0.766 0.0655 0.0655
380 0.771 0.0628 0.0628
385 0.777 0.061 0.061
390 0.783 0.0602 0.0602
395 0.792 0.06 0.06
400 0.801 0.06 0.06
405 0.811 0.06 0.06
410 0.819 0.0598 0.0598
415 0.827 0.0593 0.0593
420 0.834 0.0586 0.0586
425 0.84 0.0577 0.0577
430 0.846 0.0568 0.0568
435 0.85 0.0557 0.0557
440 0.854 0.0547 0.0547
445 0.858 0.0537 0.0537
450 0.861 0.0527 0.0527
455 0.864 0.0518 0.0518
460 0.866 0.051 0.051
465 0.868 0.0503 0.0503
470 0.869 0.0498 0.0498
475 0.871 0.0494 0.0494
480 0.872 0.0492 0.0492
485 0.873 0.049 0.049
490 0.873 0.0489 0.0489
495 0.873 0.0491 0.0491
500 0.874 0.0493 0.0493
505 0.874 0.0498 0.0498
510 0.873 0.0504 0.0504
515 0.873 0.0512 0.0512
520 0.872 0.0521 0.0521
525 0.871 0.0532 0.0532
530 0.87 0.0544 0.0544
535 0.868 0.0558 0.0558
540 0.867 0.0574 0.0574
545 0.865 0.059 0.059
550 0.863 0.0609 0.0609
555 0.861 0.0628 0.0628
560 0.859 0.0649 0.0649
565 0.857 0.0672 0.0672
570 0.854 0.0695 0.0695
575 0.851 0.072 0.072
580 0.849 0.0747 0.0747
585 0.846 0.0774 0.0774
590 0.843 0.0802 0.0802
595 0.84 0.0832 0.0832
600 0.836 0.0863 0.0863
605 0.833 0.0895 0.0895
610 0.829 0.0927 0.0927
615 0.826 0.0961 0.0961
620 0.822 0.0995 0.0995
625 0.819 0.103 0.103
630 0.815 0.107 0.107
635 0.811 0.11 0.11
640 0.807 0.114 0.114
645 0.803 0.118 0.118
650 0.799 0.122 0.122
655 0.795 0.126 0.126
660 0.791 0.13 0.13
665 0.787 0.134 0.134
670 0.783 0.138 0.138
675 0.779 0.143 0.143
680 0.774 0.147 0.147
685 0.77 0.151 0.151
690 0.765 0.156 0.156
695 0.761 0.16 0.16
700 0.756 0.165 0.165
705 0.752 0.169 0.169
710 0.747 0.174 0.174
715 0.743 0.178 0.178
720 0.738 0.183 0.183
725 0.733 0.187 0.187
730 0.729 0.192 0.192
735 0.724 0.197 0.197
740 0.719 0.201 0.201
745 0.715 0.206 0.206
750 0.71 0.21 0.21
755 0.706 0.215 0.215
760 0.701 0.22 0.22
765 0.696 0.225 0.225
770 0.691 0.229 0.229
775 0.686 0.234 0.234
780 0.681 0.239 0.239
785 0.677 0.243 0.243
790 0.672 0.248 0.248
795 0.667 0.253 0.253
800 0.663 0.258 0.258
805 0.658 0.262 0.262
810 0.653 0.267 0.267
815 0.649 0.272 0.272
820 0.643 0.276 0.276
825 0.638 0.281 0.281
830 0.634 0.285 0.285
835 0.628 0.29 0.29
840 0.623 0.295 0.295
845 0.617 0.299 0.299
850 0.612 0.304 0.304
855 0.616 0.308 0.308
860 0.615 0.313 0.313
865 0.608 0.317 0.317
870 0.604 0.321 0.321
875 0.598 0.326 0.326
880 0.592 0.33 0.33
885 0.589 0.335 0.335
890 0.583 0.339 0.339
895 0.578 0.343 0.343
900 0.573 0.347 0.347
905 0.569 0.351 0.351
910 0.565 0.356 0.356
915 0.559 0.361 0.361
920 0.555 0.365 0.365
925 0.551 0.369 0.369
