SCC Double Stack - Ag 10nm - AlN 103.3nm - Ag 15.4nm - AlN 60nm			
	Reflectance	Transmittance	
300	17.663292	17.089856	1
305	16.972387	23.179171	2
310	17.861696	30.079987	3
315	20.862013	35.795036	4
320	25.618583	39.46263	5
325	31.036137	40.729882	6
330	35.609892	40.331298	7
335	38.316796	39.129381	8
340	39.518684	37.964653	9
345	39.688006	37.148744	10
350	39.219934	36.65342	11
355	38.259648	36.396807	12
360	36.943431	36.472009	13
365	35.390832	36.745357	14
370	33.721321	37.298438	15
375	31.962048	38.016839	16
380	30.203918	38.899026	17
385	28.478445	39.992656	18
390	26.860059	41.193826	19
395	25.321706	42.516813	20
400	23.849599	43.992698	21
405	22.435112	45.53531	22
410	21.087281	47.153566	23
415	19.780907	48.89308	24
420	18.560799	50.724565	25
425	17.394576	52.527886	26
430	16.298307	54.456796	27
435	15.28695	56.362529	28
440	14.366998	58.24027	29
445	13.524996	60.217874	30
450	12.761693	62.211631	31
455	12.076909	63.753364	32
460	11.501183	65.328801	33
465	11.006443	66.816398	34
470	10.588262	68.334923	35
475	10.243113	69.527734	36
480	10.013506	70.425245	37
485	9.743621	71.263622	38
490	9.535464	72.103768	39
495	9.383365	72.571101	40
500	9.259765	73.062721	41
505	9.162093	73.643824	42
510	9.068384	73.935934	43
515	8.977707	73.933359	44
520	8.880924	74.020683	45
525	8.77425	74.007056	46
530	8.651801	73.936898	47
535	8.5079	73.762378	48
540	8.346197	73.651162	49
545	8.161456	73.388129	50
550	7.954162	73.127302	51
555	7.731388	72.931136	52
560	7.484349	72.744721	53
565	7.22929	72.373798	54
570	6.971852	72.121332	55
575	6.713738	71.55933	56
580	6.462809	71.266753	57
585	6.220967	70.800466	58
590	6.002794	70.346957	59
595	5.812394	69.940933	60
600	5.661441	69.58718	61
605	5.560404	68.905731	62
610	5.514025	68.342675	63
615	5.535914	67.741302	64
620	5.633626	67.157802	65
625	5.812838	66.228633	66
630	6.080926	65.61443	67
635	6.447629	64.751463	68
640	6.920636	63.879603	69
645	7.501947	63.074827	70
650	8.189814	61.972404	71
655	8.995326	60.926563	72
660	9.909675	59.811007	73
665	10.935179	58.663186	74
670	12.07014	57.404664	75
675	13.308091	55.99137	76
680	14.648453	54.697446	77
685	16.089367	53.323332	78
690	17.604585	52.000184	79
695	19.188211	50.408297	80
700	20.84673	49.059363	81
705	22.555557	47.494321	82
710	24.316178	46.066799	83
715	26.109414	44.562529	84
720	27.925201	43.068966	85
725	29.774635	41.592428	86
730	31.626325	40.097226	87
735	33.473246	38.624965	88
740	35.306837	37.28714	89
745	37.153404	35.87491	90
750	38.95405	34.481944	91
755	40.72116	33.199204	92
760	42.464327	31.85029	93
765	44.190622	30.585536	94
770	45.894837	29.448439	95
775	47.532575	28.272278	96
780	49.140161	27.104549	97
785	50.688499	26.079169	98
790	52.193221	25.024202	99
795	53.672555	24.035834	100
800	55.058051	23.060994	101
805	56.401097	22.107519	102
810	57.725488	21.200145	103
815	59.027095	20.396604	104
820	60.218681	19.599096	105
825	61.366224	18.855961	106
830	62.531556	18.074688	107
835	63.652639	17.394782	108
840	64.652189	16.735338	109
845	65.694027	16.103155	110
850	66.629536	15.443939	111
855	67.599867	14.87878	112
860	68.48603	14.353274	113
865	69.356644	13.808209	114
870	70.204751	13.300176	115
875	70.993313	12.853834	116
880	71.735973	12.363504	117
885	72.485291	11.885045	118
890	73.170388	11.455277	119
895	73.849109	11.054347	120
900	74.51989	10.877932	121
905	75.237364	10.492832	122
910	75.904214	10.130181	123
915	76.405941	9.799221	124
920	76.936985	9.468379	125
925	77.49115	9.149433	126
930	78.071195	8.841841	127
935	78.555439	8.558652	128
940	79.019842	8.289297	129
945	79.510326	8.023789	130
950	80.025291	7.765752	131
955	80.486033	7.524519	132
960	80.85201	7.294928	133
965	81.268356	7.078584	134
970	81.670777	6.865307	135
975	82.081891	6.661858	136
980	82.426629	6.470074	137
985	82.770763	6.27832	138
990	83.103722	6.095921	139
995	83.399959	5.927584	140
1000	83.723921	5.765026	141
1005	84.020454	5.601923	142
1010	84.345024	5.446334	143
1015	84.645069	5.300563	144
1020	84.928723	5.159901	145
1025	85.193368	5.020379	146
1030	85.42439	4.891781	147
1035	85.666554	4.762596	148
1040	85.889289	4.640241	149
1045	86.142245	4.522577	150
1050	86.341215	4.409205	151
1055	86.574748	4.297126	152
1060	86.772134	4.194481	153
1065	86.990325	4.092875	154
1070	87.19252	3.99178	155
1075	87.400632	3.895148	156
1080	87.573068	3.803563	157
1085	87.739298	3.716679	158
1090	87.937989	3.631066	159
1095	88.091771	3.547688	160
1100	88.287428	3.471844	161
1105	88.410131	3.393373	162
1110	88.603329	3.316191	163
1115	88.765391	3.241677	164
1120	88.862198	3.172369	165
1125	89.036974	3.107701	166
1130	89.198063	3.041809	167
1135	89.355532	2.975661	168
1140	89.470501	2.912526	169
1145	89.617974	2.852576	170
1150	89.726841	2.795862	171
1155	89.842638	2.73746	172
1160	89.941961	2.68118	173
1165	90.103628	2.628939	174
1170	90.183877	2.577745	175
1175	90.298712	2.526208	176
1180	90.392051	2.477118	177
1185	90.459408	2.431067	178
1190	90.418525	2.385915	179
1195	90.507209	2.340366	180
1200	90.581671	2.296845	181
1205	90.708741	2.255104	182
1210	90.786103	2.213378	183
1215	90.8613	2.173283	184
1220	90.978826	2.134881	185
1225	91.055719	2.095086	186
1230	91.146566	2.057273	187
1235	91.222629	2.021964	188
1240	91.323443	1.987204	189
1245	91.410934	1.953595	190
1250	91.497988	1.920899	191
1255	91.528402	1.886658	192
1260	91.591142	1.856236	193
1265	91.664793	1.826678	194
1270	91.750538	1.795345	195
1275	91.818322	1.765995	196
1280	91.874546	1.737239	197
1285	91.966682	1.708727	198
1290	92.032428	1.681847	199
1295	92.110174	1.656115	200
1300	92.142265	1.630184	201
1305	92.161032	1.604613	202
1310	92.229441	1.579141	203
1315	92.285031	1.554857	204
1320	92.345562	1.531777	205
1325	92.38527	1.508173	206
1330	92.4466	1.485975	207
1335	92.511142	1.465692	208
1340	92.550159	1.44334	209
1345	92.624619	1.421652	210
1350	92.675672	1.402536	211
1355	92.678739	1.382821	212
1360	92.703736	1.362382	213
1365	92.76821	1.342074	214
1370	92.778069	1.322904	215
1375	92.859352	1.303469	216
1380	92.892986	1.284204	217
1385	92.971285	1.265786	218
1390	93.008511	1.247923	219
1395	93.080515	1.230776	220
1400	93.104665	1.213547	221
1405	93.152898	1.196441	222
1410	93.195785	1.179531	223
1415	93.198673	1.164042	224
1420	93.264404	1.148944	225
1425	93.308555	1.133928	226
1430	93.29887	1.119527	227
1435	93.323437	1.105115	228
1440	93.383912	1.091552	229
1445	93.408762	1.07828	230
1450	93.473531	1.065814	231
1455	93.508153	1.052333	232
1460	93.503665	1.038797	233
1465	93.537775	1.026749	234
1470	93.525675	1.015691	235
1475	93.606051	1.003954	236
1480	93.648108	0.991611	237
1485	93.679411	0.97878	238
1490	93.665007	0.967371	239
1495	93.733238	0.956648	240
1500	93.763482	0.945824	241
1505	93.771956	0.935134	242
1510	93.810891	0.923807	243
1515	93.833898	0.913988	244
1520	93.857448	0.904326	245
1525	93.903882	0.892464	246
1530	93.922925	0.882005	247
1535	93.929422	0.872743	248
1540	93.971578	0.862887	249
1545	94.04127	0.852219	250
1550	94.035678	0.843458	251
1555	94.078011	0.834542	252
1560	94.127799	0.825692	253
