SCC Single Stack - Ag 11nm - AlN 43nm					
	Transmittance	Reflectance	AM 1.5		42
300	32.770365	6.403465	3.20E-02	4.56E-04	
305	39.079803	7.720257	6.27E-01	8.93E-03	
310	45.583929	9.540912	1.95E+00	2.78E-02	
315	51.463935	11.230692	5.18E+00	7.37E-02	
320	56.509553	12.5461	7.92E+00	1.13E-01	
325	60.779656	13.451713	1.09E+01	1.55E-01	
330	64.279139	13.792824	1.84E+01	2.62E-01	
335	66.991857	13.753437	1.86E+01	2.65E-01	
340	69.077501	13.51378	2.08E+01	2.97E-01	
345	70.902488	13.17791	1.96E+01	2.79E-01	
350	72.390621	12.755275	2.31E+01	3.29E-01	
355	73.575472	12.24438	2.75E+01	3.91E-01	
360	74.516556	11.691778	2.76E+01	3.92E-01	
365	75.092768	11.13861	2.94E+01	4.18E-01	
370	75.852769	10.620392	3.63E+01	5.17E-01	
375	76.275017	10.06456	2.89E+01	4.11E-01	
380	76.857985	9.621128	3.49E+01	4.98E-01	
385	77.315533	9.268652	3.42E+01	4.86E-01	
390	77.896777	8.984025	4.11E+01	5.85E-01	
395	78.736444	8.760066	4.22E+01	6.01E-01	
400	79.472876	8.562602	5.90E+01	8.40E-01	
405	80.188944	8.372321	6.17E+01	8.78E-01	
410	80.793115	8.19391	5.68E+01	8.09E-01	
415	81.326488	8.010696	6.71E+01	9.56E-01	
420	81.850418	7.844939	6.21E+01	8.85E-01	
425	82.162923	7.690641	6.98E+01	9.93E-01	
430	82.635641	7.554549	4.93E+01	7.01E-01	
435	82.810635	7.445902	7.07E+01	1.01E+00	
440	83.115103	7.364825	7.72E+01	1.10E+00	
445	83.137063	7.306663	8.42E+01	1.20E+00	
450	83.294104	7.272287	9.05E+01	1.29E+00	
455	83.256518	7.267987	8.89E+01	1.27E+00	
460	83.464825	7.295114	8.98E+01	1.28E+00	
465	83.418712	7.358003	9.06E+01	1.29E+00	
470	83.341819	7.451977	8.95E+01	1.27E+00	
475	83.262345	7.574702	9.66E+01	1.38E+00	
480	83.205895	7.737585	9.71E+01	1.38E+00	
485	82.911707	7.947874	9.45E+01	1.35E+00	
490	82.657573	8.124076	9.81E+01	1.40E+00	
495	82.566425	8.366663	1.00E+02	1.42E+00	
500	82.262952	8.64569	9.41E+01	1.34E+00	
505	82.106795	8.93576	9.55E+01	1.36E+00	
510	81.787476	9.257946	9.48E+01	1.35E+00	
515	81.55164	9.604411	9.40E+01	1.34E+00	
520	81.131835	9.97473	9.38E+01	1.33E+00	
525	80.757471	10.36977	9.73E+01	1.39E+00	
530	80.169698	10.789886	9.55E+01	1.36E+00	
535	79.650475	11.232931	9.62E+01	1.37E+00	
540	79.25333	11.693562	9.20E+01	1.31E+00	
545	78.78799	12.174998	9.59E+01	1.37E+00	
550	78.28363	12.672813	9.59E+01	1.36E+00	
555	77.626456	13.185608	9.75E+01	1.39E+00	
560	77.173986	13.721958	9.21E+01	1.31E+00	
565	76.600924	14.269627	9.52E+01	1.36E+00	
570	76.016092	14.829153	9.30E+01	1.32E+00	
575	75.456454	15.403051	9.29E+01	1.32E+00	
580	74.858662	15.98547	9.45E+01	1.35E+00	
585	74.234138	16.585152	9.65E+01	1.37E+00	
590	73.689926	17.184544	8.65E+01	1.23E+00	
595	73.149667	17.803569	9.04E+01	1.29E+00	
600	72.518217	18.427559	9.33E+01	1.33E+00	
605	71.88907	19.053367	9.42E+01	1.34E+00	
